nature,acorn,bamboo,cactus,cloud,desert,feather,fire,flower,garden,grass,leaf,lightning,moon,mountain,palm tree,plant,rain,rainbow,river,rock,roots,shell,smoke,star,stem,sun,tornado,tree,volcano,waterfall,wave,weed,beach,cave,cliff,island,snowflake,sunflower
-0.078802384,-0.018690756,-0.03842329,0.020052709,-0.07982959,-0.06468739,-0.07748391,-0.061704066,-0.06541839,-0.055759184,-0.056198504,-0.071171656,-0.06677045,-0.07372125,-0.05880671,-0.044972863,-0.004905685,-0.07714265,-0.062639855,-0.010865388,-0.04044668,-0.03623817,-0.02203381,-0.080564715,-0.049377766,-0.009077277,-0.039918263,-0.06447952,-0.045399867,-0.07164229,-0.027563099,-0.03425411,-0.068675,-0.019388862,-0.041913,-0.013582308,-0.017928261,-0.077154934,-0.05682512
-0.065744214,-0.07010011,-0.033180993,-0.03799164,0.069033094,0.05964608,0.07551237,-0.00868399,0.0891648,0.020348525,0.00154232,0.024589991,0.06189066,0.044533785,0.08709517,0.038698778,0.04141849,0.07209863,0.028142037,-0.037062608,0.008842172,0.007899555,0.036983475,0.032954536,0.008723783,0.07584826,-0.051856656,0.046062052,0.04030244,0.07664119,0.050200608,0.048330016,-0.001521453,-0.007866333,0.029914308,0.063017115,-0.001078584,0.05088381,0.06430792
0.024704577,-0.017881107,0.07266987,-0.053668756,0.06324217,-0.07658937,0.059172958,-0.046114627,0.07182199,0.02585838,0.064123206,0.05228941,-0.03415872,0.04917467,0.047901865,0.028805187,0.07335612,0.05328114,-0.029121296,-0.038999703,-0.021244273,0.07271488,0.04725035,-0.011652802,-0.056248035,0.067110986,0.019647377,0.042943172,-0.027772546,0.004499599,-0.009313451,0.052147113,0.056479942,0.019239787,-0.042731073,0.011583921,-0.004834976,0.06748133,-0.005712989
0.020522604,0.04175255,-0.0194607,0.009134544,-0.07138754,0.011538011,-0.040188875,-0.04137611,0.009670654,0.048567086,0.0783423,-0.028658953,-0.06673528,-0.04168582,0.03211439,-0.023428218,0.005730876,-0.07376185,-0.07152289,-0.07137051,0.031662337,-0.040298022,0.042534713,-0.027191581,0.059849933,-0.028541407,-0.003350274,-0.042869143,-0.046365466,0.06462946,-0.02289652,-0.05835555,0.07028523,0.009309824,-0.011700673,-0.07200138,0.06431771,0.06561514,0.027683714
-0.01978399,-0.06953944,0.01920582,0.07559526,0.02721745,0.06483496,0.018064963,0.06947886,0.043298714,0.07226624,0.05914225,-0.005198013,-0.035977963,0.036530133,0.07936043,0.007926769,0.063300855,0.056226697,0.019731805,0.07521401,0.06541994,-0.017406028,0.03827285,0.057566803,0.048211295,-0.017751347,0.07751342,0.025809562,0.03261314,-0.060506567,-0.010587854,0.06636607,0.06400942,0.041832305,0.05833809,0.05315081,0.043254822,0.042214524,-0.03994911
-0.07400431,-0.001792438,0.025797507,0.06355514,0.0749734,0.017139167,0.048333414,-0.067640714,-0.025625318,0.049869515,0.000779773,0.036856305,-0.036762733,0.06719904,0.07433614,0.08572393,0.019387254,-0.043669906,-0.014132334,0.05262932,-0.001470418,0.06397209,0.05601059,-0.031919617,0.047853023,0.08300601,-0.044151306,0.03595274,0.019690821,0.013723373,0.0472664,0.065459825,0.011270391,0.019697849,0.047025852,0.09123082,0.066091605,0.014664384,0.046507273
0.07433363,-0.044050775,0.030737389,0.07893303,0.019735336,0.039668098,-0.033389308,0.073052555,0.069105595,0.061707266,0.06642449,0.052722722,0.059698906,0.035756707,0.01297016,-0.05701064,0.04702771,0.023197966,0.069086485,0.020765373,0.026067885,-0.035411723,0.03226047,-0.02891491,0.08342523,-0.050117705,0.043979555,0.029003043,-0.023575922,0.06318624,-0.030610168,-0.020240925,-0.026207173,0.0445687,-0.060082756,0.023254937,0.05848683,-0.05704094,-0.012017714
-0.0644385,-0.014444114,-0.072289534,-0.050158408,0.005803266,0.01579953,0.06696367,0.04377669,-0.050922245,-0.000694357,-0.022011485,0.013054651,-0.015390348,-0.01949279,0.022818958,0.01337334,-0.00055947,-0.024265777,-0.054939754,-0.08163545,0.032938614,0.028382478,-0.034120966,0.022438724,0.02083597,0.051473953,0.010090528,-0.056267977,-0.07908192,0.041405525,-0.052885287,-0.026704872,0.022139156,0.060172964,-0.064270094,0.041751362,0.056564163,-0.07355244,0.011667541
-0.022628786,0.049652435,0.010395978,0.009743907,0.06356363,-0.053112447,0.051567778,-0.057351224,-0.04029847,-0.01818746,-0.016638763,-0.017149163,-0.007512813,0.02247484,-0.06151662,-0.021363527,-0.01952551,0.041456122,0.00774894,0.000375953,0.024091383,0.008578788,0.07305175,-0.01127573,0.030279385,0.036957595,0.006803191,0.061339844,-0.01470028,-0.07786264,-0.013813836,-0.010186856,-0.046653546,-0.062789105,-0.023845075,-0.020373225,-0.084289305,0.03725512,-0.05424249
-0.04194184,-0.056353576,-0.031277563,-0.05644733,0.026008738,-0.008810916,-0.032527134,0.01858283,0.057639938,0.03529968,0.001593922,0.045487393,0.03820514,0.023634894,-0.000179957,-0.014635797,-0.011753616,0.005149302,-0.030821286,-0.011385625,-0.031650737,-0.07849078,-0.011149354,0.042087406,0.02919275,-0.00175867,0.004195153,-0.006632417,0.00066595,-0.003394492,0.005607576,0.056282837,0.036837902,0.037564192,-0.054509684,0.001952065,-0.035161473,0.029585887,-0.016352799
