toiletries,band aid,brush,comb,deodorant,lipstick,mascara,nail clipper,nail polish,needle,razor,scale,toilet paper,toothbrush,toothpaste,towel,tweezers,mouthwash,shaving cream
-0.034015264,0.000551604,-0.061106466,-0.052812774,-0.010579408,-0.061810933,-0.04160795,-0.003824389,0.013734463,-0.07447931,0.030155776,-0.009802796,-0.05366162,-0.049835388,-0.014164003,-0.038295414,-0.023411358,-0.045329977,0.001950528
0.041354273,0.004643047,0.06647615,0.06466716,-0.04048843,-0.06818567,0.06581744,0.061438803,0.055264547,0.0816156,-0.039618704,0.026333064,-0.050923016,-0.0385827,-0.005702209,0.055026762,0.07138191,-0.006038407,-0.053595398
-0.022967415,-0.02484536,0.07819861,0.08557369,0.00319113,0.003500419,0.04142814,-0.010383876,-0.034453165,0.027713258,-0.016639048,-0.004809767,-0.031217024,0.034785338,-0.023057904,-0.05841839,-0.025964042,0.015040753,0.07454533
0.030245617,0.06401851,-0.010352799,0.029176319,0.057273168,-0.021512143,-0.055206202,0.0509675,-0.006323723,0.06068902,0.08390923,0.038786713,0.04152545,0.053966746,0.07425721,-0.07527604,0.059641372,0.005108792,0.05564527
0.057347756,0.06308016,0.04466426,0.050369408,0.030245913,0.005644704,0.02796954,0.008261177,0.003783536,-0.000158765,0.010731974,0.003043423,0.06991337,0.002814922,0.044365875,0.02831571,0.035906,0.017117519,0.04408643
-0.018540528,0.06393318,-0.025456704,0.025765643,-0.030011758,-0.062080353,0.05287007,0.07472727,-0.037721,0.080137156,-0.02367131,0.07391275,0.06329271,-0.014602734,-0.0069497,0.0666662,0.07950792,-0.0326735,-0.014643442
0.037533063,0.007805436,0.02060637,0.004463315,0.046493012,0.014803171,0.012753785,0.005065878,-0.012839986,-0.029578429,-0.01690147,0.044569887,0.027710855,-0.030731624,0.017743004,-0.038765736,-0.030512601,0.010749965,0.06087913
0.036392484,0.013423406,0.06417215,-0.03272611,0.022267504,0.041859847,-0.000294405,0.029240472,0.026296364,0.07834347,0.04014324,0.046788394,0.04336705,0.06731975,0.06515631,0.05435478,0.056270204,0.055054482,0.000187919
-0.04105484,0.010292101,0.0662788,0.07035737,-0.06430447,0.001094415,0.057264667,0.05445447,0.025143912,0.047468893,0.002522168,-0.05045149,0.009017646,0.03944347,-0.012286651,-0.012955822,-0.018486572,-0.041093256,0.0185258
0.061591156,0.010582454,0.06471078,0.004530076,0.067210324,0.004976311,-0.003804448,0.02784143,0.039374515,0.002222445,-0.012084621,0.062507086,0.015352192,0.028759327,0.015494927,-0.012901665,-0.047171015,0.031219078,-0.003439734
-0.043756552,0.03880891,-0.0271094,0.0455616,0.006015708,-0.075300135,-0.03128078,-0.02961448,-0.05003173,-0.062471,-0.051885583,-0.077722706,0.020337742,-0.03876335,-0.048576854,0.029877817,-0.0658463,-0.039523493,-0.070674405
-0.04892529,-0.05128695,-0.041363295,-0.049785838,-0.027110482,-0.061446037,-0.042344455,-0.06092904,-0.023463393,-0.051893186,0.002408949,-0.07486435,-0.07507824,-0.013457983,-0.012959955,-0.075496644,-0.018837405,-0.04508764,-0.066403106
-0.001121993,0.004550852,-0.049226068,-0.028345272,0.051002253,0.042092606,0.07063631,-0.039934315,0.01965004,-0.05226533,0.039397568,-0.04060868,-0.044853505,-0.004568996,0.042794995,-0.041463263,0.045824885,0.023543566,-0.001547289
0.060635366,-0.03786517,0.05868753,-0.015396532,-0.020333244,0.03191375,-0.01828092,0.008258587,0.019668397,-0.021884803,-0.003251844,-0.022425408,0.00331036,0.058466043,0.00269609,0.04256995,0.012769657,0.046938613,0.013920778
-0.00562198,-0.020523679,-0.035333447,-0.056154564,-0.05310169,0.023234518,-0.036450326,-0.058007997,0.004050785,-0.03742824,-0.04879928,-0.03668381,-0.07593612,-0.036739536,-0.05314344,-0.030989971,-0.034451842,-0.022142816,-0.012969966
0.019341784,0.021140637,0.012415865,-0.04164429,0.05623054,0.005131414,-0.020772962,-0.029912962,0.037899405,-0.020044047,-0.06595678,-0.016576784,0.053331584,-0.02284613,0.044024438,-0.02875648,-0.034007926,0.004032175,0.007012367
0.07820578,-0.0613202,-0.031267747,-0.049048364,0.027106553,0.06492895,0.009099606,0.045637496,0.011926104,-0.014806411,-0.025646482,0.06629597,0.07837656,0.009542689,-0.030973855,0.049293354,0.044911735,0.062349048,-0.032536764
-0.029448312,0.021848038,0.024275895,0.06952905,0.07150194,-0.057613578,0.051593304,0.02961712,0.018861521,0.012701158,0.08205134,-0.045968793,-0.024006013,0.044418048,0.027923584,0.05269433,0.06751835,0.022936784,0.07331783
-0.03560658,0.05504192,0.021532394,0.047381148,0.056681804,0.050745826,0.049929425,0.04611916,0.053210907,-0.001244275,0.06386545,0.067892194,0.070663996,0.03184435,0.04425765,0.02074853,0.020807756,0.019516466,0.054486647
0.05266339,0.08025529,0.06450758,0.05503263,0.065659836,0.042757515,0.06475197,0.029828971,0.07497606,-0.030202767,-0.054639198,0.051390152,0.02269128,0.055126436,0.041247413,0.014589778,0.029144512,0.06806507,0.03979806
0.073765025,0.04254779,0.078945756,0.07758142,0.057995077,0.037687894,0.0469082,0.0664785,0.063444965,0.07506079,0.06769629,0.09090808,0.06029935,0.063407294,0.06712869,0.045508206,0.038604878,0.07034493,0.060213037
-0.01596774,0.021644644,0.058762036,-0.00125258,0.05322389,0.05049481,0.064352125,0.02095781,0.040244397,0.022801058,-0.026555546,0.092496954,0.07147546,0.060254537,-0.005091325,0.012823905,-0.021746507,-0.000485412,0.002387482
-0.039278906,0.07863925,0.06715448,0.07019903,0.06423663,-0.060296763,-0.072031915,0.03852959,0.037469313,-0.025565634,0.08054683,0.070801735,0.05814639,0.06491764,0.00473228,0.02358713,-0.011991532,0.049317174,0.07248859
-0.047717378,-0.056055844,0.015447009,-0.05150249,-0.06969781,-0.035084184,0.00182753,-0.018148879,-0.077847175,-0.04848416,-0.08060549,-0.060859453,0.015865574,-0.05945764,-0.074307404,-0.07052286,-0.051741183,-0.012679877,-0.04938412
0.011170168,0.02527701,0.03650277,0.035454948,0.02831272,-0.036073174,0.015666416,0.020435812,-0.04655435,0.022408178,0.01515796,0.020269156,-0.01788881,0.020277865,-0.002451997,0.040642675,0.0269054,0.000636098,-0.016396847
0.0770682,-0.006445107,0.08343028,0.052411564,0.07265652,0.001629092,0.025718309,0.060054533,0.07044261,-0.03426954,0.068483785,0.06620756,0.03836109,0.040979713,0.04376329,-0.008939237,0.06687672,-0.035254538,0.053093027
0.07500564,0.07568805,0.06607142,0.051206503,0.014363891,0.06326523,0.03788995,0.05473125,0.032562777,0.052980073,0.030806893,0.043858152,0.07395574,0.069899924,0.06155026,0.016046746,0.056084614,0.06751628,0.0442527
0.066865884,0.069421574,0.05498087,0.07662024,0.05767224,0.026523419,0.045217376,0.029092096,-0.07222804,0.025490342,0.086011104,-0.028528888,0.07389947,0.07215896,0.040684547,0.006358773,0.07649605,0.053417258,0.07695543
0.044660594,-0.04477946,-0.0285828,-0.026013393,-0.028966542,-0.023594266,-0.026062017,-0.036614016,-0.05852165,-0.033949785,0.050163526,-0.009265013,-0.016183399,-0.050108436,-0.038792398,-0.005713219,-0.059563633,-0.04889297,0.003720842
0.024068246,-0.038738653,-0.008317757,-0.054406602,-0.046150103,0.051981967,-0.06013974,-0.012833648,-0.005606157,0.04262028,0.02727989,-0.01443065,-0.07095152,0.03274392,-0.05669951,-0.007633174,-0.059894323,0.042611152,-0.014707129
-0.040333916,-0.008679837,-0.06482679,-0.073463224,-0.042344157,-0.012471682,0.014059164,0.030060135,0.028268494,-0.017954642,-0.01622166,-0.015813116,0.012033064,-0.003427906,0.009934353,-0.026019493,-0.039084006,0.021308223,-0.013099562
0.066631384,0.05231121,0.0679626,0.06203151,0.024006441,0.05708326,0.058405213,0.04600494,0.039037444,0.050166056,0.024043918,0.02085649,0.038614355,0.048959088,0.044702977,0.037947632,0.026029654,0.016926948,0.060384184
0.061535608,-0.00183043,0.06575818,-0.023737505,0.014329286,-0.03767126,-0.034273755,0.010892298,0.010930114,-0.039235048,0.022500562,-0.033955976,0.08048826,0.052556165,0.067392565,0.041506317,-0.07046832,-0.028899843,0.06787511
