Places and Buildings,africa,airport,australia,bakery,bar,barn,cabin,castle,church,city,eiffel tower,house,hut,igloo,italy,library,lighthouse,pyramid,restaurant,stadium,tent,tepee,texas,windmill
-0.04369046,0.013020655,-0.06288769,0.02895737,-0.055920172,-0.071994685,-0.04786316,-0.05008162,-0.044263393,-0.03610132,-0.0039676144,-0.055247225,-0.057496224,-0.049494755,-0.032634284,-0.0067930883,-0.005537928,-0.06577335,-0.04649302,-0.0520618,-0.06128342,-0.026423601,-0.044545416,0.02743666,-0.065560855
-0.047422513,-0.07063189,0.04457276,-0.019493489,-0.07515202,0.02750425,-0.088304415,-0.0740145,-0.05402013,-0.013487442,-0.071638465,-0.06072295,-0.069645874,-0.062698275,-0.08186686,0.012903173,0.01443547,-0.074520916,0.005255579,0.0076622195,-0.061607406,-0.08333595,-0.09243008,-0.0011217076,-0.0810687
-0.07131132,0.0056547974,-0.05402101,0.019005613,0.00514197,-0.079647616,0.031095702,0.046565715,-0.009481452,-0.0021009236,-0.038809713,0.019775426,0.035568878,-0.034082614,-0.0025463565,0.04848329,-0.078068055,-0.0048600575,0.010020105,0.035521775,-0.05373725,0.028253429,0.043830786,0.041357093,-0.04921412
-0.0714811,-0.0002992756,-0.06965618,-0.025591653,-0.04201267,-0.029554252,-0.035234194,-0.05553985,-0.028559964,-0.042268645,-0.039598957,-0.024714094,-0.035080127,-0.0831928,-0.027090138,-0.028469576,-0.07099912,-0.038986623,-0.06036949,-0.0039157486,-0.025466453,-0.037007242,-0.057988822,-0.0132928705,-0.063512184
0.053323705,0.008854092,-0.056203585,0.07837168,0.006575331,0.0629838,0.056824047,-0.019035766,-0.021712752,-0.019658647,-0.019577004,-0.048692822,0.043577038,-0.027153669,-0.0576146,0.044217374,0.022670384,0.04686829,-0.06999802,0.07107322,0.037992377,0.08052411,0.0020791998,0.035151042,-0.02333372
-0.008848636,-0.038989622,0.050892644,-0.06890216,-0.043596886,0.07948492,0.0020287863,-0.06270167,0.014547296,0.05175232,0.06299484,0.05218964,-0.014783833,0.04154581,0.022209626,0.029613733,0.05642026,-0.047826603,0.068277046,0.029728359,0.0025764103,-0.07935508,-0.03629349,-0.07162528,0.042261112
-0.022506757,0.038360823,0.044492554,0.06711629,-0.058716927,-0.029696187,0.04868063,0.038775474,0.05934015,-0.002981396,0.01933916,0.06456899,-0.033966806,0.021728782,0.032473873,-0.07727604,0.01558125,0.08002817,0.04698163,-0.026669325,-0.01635786,0.05703415,-0.00068284606,0.011595356,-0.033873968
-0.002654081,-0.012860439,-0.0057654693,0.026456779,-0.019278657,0.010339507,0.07906082,0.029191526,0.07234771,-0.020967515,-0.003044497,-0.06263414,0.06897955,0.084730566,0.07705484,-0.01199697,-0.03225269,0.054834574,0.06524896,-0.061096866,0.0896826,0.059806168,-0.0012157159,0.0051935473,0.042752888
0.08925133,0.025985168,0.059974182,0.0067430013,0.040016606,0.041059908,-0.014410446,0.054112587,-0.044665888,0.033824768,0.032077976,0.028417332,-0.0065088146,-0.009039428,0.02322467,-0.0591866,0.0057816105,0.05025118,-0.018223755,0.065753676,-0.039924327,0.05307688,0.047033634,-0.043578777,0.0151728075
-0.03244262,0.06422856,0.08353202,0.07137673,0.06762159,0.08583852,0.075889766,0.086148,0.081844375,0.0759309,0.08477062,0.07750374,0.08730888,0.08164974,0.014005905,0.058975626,0.08522329,0.075333536,0.08117762,0.0860287,0.07383702,0.0662574,0.1017373,0.0768603,0.07076771
-0.057224873,0.032269508,0.044936426,0.071479365,-0.0025971301,0.07555783,-0.005975945,0.021473043,0.03112294,0.07075861,0.0841189,0.019747326,0.08236185,0.014896444,-0.031327132,0.050120723,0.042339146,-0.04304776,0.039451536,-0.021047695,0.04894505,0.05856404,0.07313466,0.07189756,0.025142571
-0.05086403,-0.06462251,-0.00398635,-0.02993448,-0.0012660929,-0.045068566,0.005435263,0.010247872,-0.023148755,-0.05576322,-0.04130646,-0.039104823,-0.065556236,-0.041193932,-0.041044574,-0.053815186,0.017342143,-0.015563643,-0.014830628,-0.045206685,0.05544772,-0.030779952,-0.048726037,0.0072926986,0.032377727
-0.012751185,0.05837999,-0.00067559397,-0.017223647,-0.006353841,-0.031637564,0.028123813,0.009006491,0.061866235,0.02360619,0.052430786,-0.039442576,-0.06660888,0.0024796147,-0.04167042,0.03645997,-0.001054369,-0.081172004,-0.08115695,-0.0024153166,-0.021674093,0.07957397,-0.020402208,0.058399893,-0.023555195
-0.082064174,0.03041688,0.00883733,0.061574906,0.018554065,-0.03708204,0.0034007714,0.038399797,-0.027842611,-0.013489776,0.020219244,-0.013109486,0.028073808,0.013714661,0.061808765,0.0024224042,0.04631347,-0.03181656,0.031845916,0.028175475,0.010003699,-0.004862667,0.0036141134,0.012751244,0.05832237
0.033499613,0.026256856,0.061499435,-0.081347935,-0.020647231,0.005211383,-0.08650292,0.009387172,-0.07834699,-0.010158817,0.00034703943,0.019983761,-0.023086747,0.029991684,0.058212336,0.024467409,0.034990303,-0.05871702,0.005849566,-0.019664193,0.0644598,-0.034161907,0.0072832294,0.018983485,-0.06682146
0.06692297,0.059393123,0.08269995,0.05672453,0.07731456,0.06840703,0.06440125,0.077781856,0.043308806,0.045347534,0.052634533,0.05491302,0.028289894,0.05514742,0.06742097,0.07046004,0.06334335,0.065087914,0.06797833,0.055166356,0.05789105,0.031692307,0.038792964,0.027107632,0.040542476
-0.053172566,-0.00018693916,-0.07900525,-0.007875616,-0.06662457,-0.040804267,-0.07438015,0.03954662,-0.042064328,-0.06778647,-0.052593295,-0.033531807,-0.05298429,0.067673795,0.07629917,-0.07207439,-0.035735328,0.076050885,0.04619861,-0.04084945,-0.047488086,0.07746693,0.07741336,0.020800825,-0.017518435
0.01435358,-0.026083332,0.045621775,-0.012438938,0.020320823,-0.018060138,-0.038321167,-0.018846024,0.014139568,-0.008786884,0.0018512644,0.009347363,0.0065527437,0.034321565,-0.037316106,0.03615758,-0.030839473,-0.024745971,-0.03892054,-0.045504805,-0.055229075,-0.026737142,-0.029568436,-0.031925917,-0.035655513
-0.013426602,-0.017596908,-0.01809592,-0.062421452,-0.0067967596,0.029903004,0.062555544,0.0560751,-0.051448047,0.015765514,0.074524894,-0.07541985,0.047452234,-0.026867367,-0.06212325,0.019686697,-0.046385773,-0.0044352235,-0.079230554,-0.015063137,-0.031780023,-0.006329826,-0.0063064834,-0.031923015,-0.061594803
0.04321436,0.048730385,0.031730074,0.064341225,0.02949967,0.050999273,-0.029055344,-0.021739736,0.02175702,0.04114328,0.066765994,0.017572623,0.028753858,0.010418065,0.02856146,0.0601563,0.06037482,-0.025687577,0.026744664,0.04977918,0.07479507,-0.056545738,0.017126579,0.0632935,-0.011746774
