Uncategorized,bird,bomb,bullet,cage,cannon,cigar,cigarette,coins,cross,fruit,grenade,heart,knot,license plate,mask,menu,money,parachute,passports,penny,saddle,shapes,steam,stethoscope,ticket,vegetables,wheel,whip
0.054526143,0.069192745,-0.011810673,-0.044674873,-0.02675786,-0.061153974,-0.0048824553,-0.009782112,0.04148276,-0.027025403,-0.018884493,-0.07198992,-0.0025839924,0.020794962,0.03572733,0.0027327097,-0.036442373,0.0023063605,-0.016410615,-0.005686121,0.028101223,-0.01484544,0.038014203,-0.047229193,0.019316817,-0.016043438,0.034002855,0.009529988,-0.0018727888
-0.063003995,-0.018225333,0.0536544,0.048985887,0.035728313,0.01843005,0.024214428,0.007063103,0.008903992,0.053858966,-0.027114252,0.0346219,-0.0160457,0.034455728,0.022806197,-0.027834082,-0.048036758,0.056763977,-0.0027513145,0.00078084524,0.029320752,-0.06135897,0.028921021,-0.030997314,-0.032960553,0.06574404,-0.014206097,0.022594796,0.056761384
0.0052858647,-0.021417161,-0.0750986,-0.02221155,-0.016477078,0.013123688,-0.04758389,-0.068711214,-0.07713977,-0.07083269,-0.007595764,-0.07823799,-0.010376671,0.060403787,0.04933286,-0.0038026639,0.06406149,-0.0504217,0.027580397,-0.014205512,-0.055150785,-0.068444565,-0.041634455,-0.02260482,0.019186273,-0.009672689,0.0842463,-0.049436208,-0.044870257
0.03440093,-0.045896977,-0.08366071,-0.0761979,-0.046879582,-0.0025362705,-0.03983212,-0.06503395,-0.0591792,-0.06888959,-0.060842454,-0.06396186,-0.06631189,0.01725061,-0.07241609,-0.068116225,-0.030924758,-0.07416518,-0.01897561,-0.038597252,-0.052264243,-0.03117099,-0.070342794,-0.022122122,-0.07051532,-0.04377849,-0.044619527,-0.07632434,-0.03936088
-0.023542754,-0.08807396,-0.043313168,-0.058467027,-0.08498319,-0.062025588,0.013219936,-0.0048931777,-0.012250688,-0.06210286,-0.054574568,-0.045173958,-0.015865413,-0.03646237,-0.083015546,-0.05075662,-0.016328057,0.01632761,-0.0501404,0.06635482,-0.052586306,-0.08358855,-0.0047171265,0.06857511,-0.021219565,0.0007933286,-0.081012815,-0.08608337,-0.06431759
-0.011362344,-0.07659555,-0.040478244,0.02674932,-0.04235928,-0.023557251,0.04108379,0.03580421,-0.050889023,-0.048894938,0.034664113,-0.029400107,-0.017391574,-0.03763262,0.039526444,-0.047130536,-0.039588064,-0.059105862,0.039867777,-0.062400904,0.0014368304,0.07706493,0.03137584,-0.0059349677,-0.004224849,0.031593084,0.013212386,0.07220239,0.04207907
-0.05809486,-0.016836094,-0.029496467,-0.014990906,0.01565682,-0.019045653,-0.063341185,-0.040416136,-0.06429914,-0.07478655,-0.03623032,-0.06035802,-0.057898812,-0.033037677,-0.025900168,-0.023621866,-0.060888514,-0.03760315,-0.053081963,-0.015317792,-0.061904762,-0.0060339915,-0.023763824,-0.0048878524,-0.04986994,-0.033852264,-0.048227966,-0.045889318,0.01483328
0.046557415,0.010004891,0.020205269,0.037886463,-0.026947748,0.03334989,0.010799244,0.012422133,-0.0048859394,-0.039962806,0.028256418,0.028261336,-0.065445624,0.03914909,0.04655644,-0.06227462,-0.03795925,0.03102044,0.0520527,0.019597942,0.006516283,-0.035305507,0.011411545,-0.0053180954,0.04119937,0.05666547,0.007821559,-0.05370967,0.014794249
-0.03892749,0.027126472,-0.04706085,0.010864268,0.073842354,0.04015206,0.052471757,0.03779093,0.029996397,0.015623008,-0.012712941,0.04545389,-0.005069227,0.019258661,-0.03143718,0.013637609,-0.013106852,0.059873253,-0.026155604,0.05557298,0.030702163,-0.01513493,0.020063464,-0.07911143,-0.07853062,0.028294694,-0.08312039,0.049054775,0.003463232
0.028276458,0.030517992,0.054788213,0.092141084,0.074260734,0.05767961,-0.019690698,0.054426342,-0.046783153,0.031394288,-0.032058515,0.07984368,-0.030154012,0.045992892,-0.02469491,0.042399094,-0.032310914,-0.052738044,0.07607559,0.0498546,-0.0084254965,0.05152804,-0.019770011,0.062051237,0.07324703,-0.067321025,0.040592685,0.03349635,0.02491555
