musical instrument,accordion,banjo,bell,clarinet,drum,flute,guitar,harp,jukebox,microphone,piano,record player,saxophone,speaker,tambourine,trumpet,violin,whistle,bagpipes,cymbals,harmonica,xylophone
0.023863584,-0.051511228,0.016840642,-0.07427845,-0.03508239,-0.007570939,-0.029071577,0.05780541,-0.052570928,0.07624354,0.032412052,-0.04945721,0.051716954,-0.000230445,0.038780432,-0.012888826,-0.049023986,-0.049501218,0.005110455,-0.052424356,-0.0631469,-0.026014788,-0.058227547
-0.009367541,-0.054026596,-0.014685156,0.005789537,-0.044940952,0.029618597,-0.002780217,-0.019657644,-0.047586214,-0.033496104,-0.023589807,-0.013524071,-0.030890541,0.018673886,0.012075659,-0.019044247,0.02489808,-0.053791057,0.018902564,-0.039717194,-0.011681582,-0.05964091,0.055387862
-0.027858084,-0.0545887,-0.061181884,-0.046413224,-0.07037208,0.010538884,-0.06432133,-0.036990188,0.002394646,-0.037276693,0.018891932,-0.051755708,0.027323304,-0.029832864,0.046790447,-0.022758164,-0.025039805,-0.045994334,-0.025713194,-0.006229008,-0.041963812,0.013459009,-0.026609307
-0.038080294,-0.00830985,0.001428502,0.009762052,-0.013631457,-0.053670954,0.012729256,-0.04554199,-0.009285875,-0.013510218,0.024147175,-0.0640536,0.059798077,0.01494919,0.017022664,-0.04229758,-0.010293262,-0.014730082,-0.07136464,-0.008765671,0.049250703,-0.038751323,0.050840687
-0.060326096,0.011481113,0.011182481,-0.04123149,0.005471036,-0.022729263,-0.013803973,-0.033447582,-0.031196374,-0.016754612,-0.06830299,-0.034588095,-0.072633184,-0.051427186,-0.054044962,-0.05549183,-0.058384474,-0.035925087,-0.011538968,-0.06468756,-0.000477628,-0.04262635,0.027339278
-0.046992946,-0.00692196,-0.07451764,-0.07151893,0.000455966,-0.06382391,-0.051453013,-0.02873279,-0.060580168,-0.02520027,0.015761295,-0.04468456,-0.061012406,-0.05848271,0.040450286,-0.062620856,-0.06998177,-0.046430122,-0.039293837,-0.070029385,-0.055690072,-0.061903305,-0.042243272
-0.03434524,0.019739792,-0.03207973,0.060312822,0.026952552,0.005057989,0.055706084,0.017976025,-0.05059878,0.034208033,-0.003073536,0.03894296,0.07135855,0.014231671,0.0700385,-0.008132647,0.048796836,-0.060770676,-0.06479066,0.005021811,0.040005412,-0.031925924,-0.019954937
-0.023714354,-0.020922381,-0.028752962,-0.067956686,-0.023028053,-0.048555914,-0.05901502,-0.007297031,-0.045270775,-0.015859129,0.010126454,-0.03453071,-0.014862666,-0.047768902,0.023127286,-0.041364957,-0.05421153,-0.04842203,-0.054717645,-0.055486135,0.00217307,-0.023909584,-0.04527289
-0.01332463,-0.058898874,-0.001883359,-0.069069244,-0.019519646,0.01563219,0.034461327,0.034320485,0.002467579,0.0734656,-0.012593707,-0.010651254,0.025897348,-0.014534251,-0.0540111,-0.028116403,0.058301665,-0.029595667,0.012797627,-0.003303581,-0.003304504,-0.018382622,-0.06228518
-0.02732145,-0.029838512,-0.056191646,0.078705646,0.021075582,-0.057987638,-0.010205973,-0.005606751,-0.029438559,0.017058862,-0.076609254,-0.051651664,-0.029623572,-0.000961933,-0.022458065,-0.02147997,-0.035388585,-0.058245324,0.06723451,-0.000510483,-0.06529929,0.06098059,-0.001345096
-0.03507089,-0.05409126,0.053349167,-0.020403905,-0.003073328,0.061565083,-0.03420437,0.061704136,-0.028984357,0.049227603,0.06802845,-0.055048957,0.040936578,0.022361526,-0.011419654,0.055979956,0.015541045,-0.01281719,0.004923326,0.03320669,0.07088876,-0.002331702,0.044261705
0.037155725,0.021168476,0.06836893,0.055010315,0.07351913,0.06894152,0.07270909,0.04762353,0.020025358,0.000184655,0.004948881,0.044229586,0.028680535,0.06329071,-0.029043367,0.042990137,0.079721205,0.050175548,0.049753986,0.051531248,0.06951159,0.028347999,0.039389145
0.080458045,-0.012910605,0.035595264,-0.05409088,0.0560888,0.042762958,0.0644761,0.042045094,0.033560563,-0.04029972,0.05836991,0.073204316,0.06764956,0.046832133,0.07688382,0.061704658,0.040793996,0.05447415,0.003681748,0.042799037,0.03568623,0.038656935,0.026235523
