Clothing,armor,boot,button,dress,heel,jacket,jeans,pants,pocket,raincoat,robe,sandals,shirt,shoe,shoelace,sleeve,slippers,sock,suit,sweater,underwear,vest,zipper
-0.016951501,0.022567555,-0.018131342,-0.03719761,-0.021351898,0.01620047,0.024665155,-0.0045122113,0.04419158,-0.0013106697,0.0055154767,-0.0130261555,0.038837377,0.022897465,0.0017556516,0.0038332427,0.030299742,-0.016121913,0.037118226,0.005183631,0.027113458,0.01181068,-0.011684927,0.03281964
0.06568621,0.06977478,0.06234383,-0.0033276335,0.051162966,0.0068494477,0.0282974,0.009203933,0.016108241,0.05007383,0.03136776,0.056937087,0.07139463,0.040112462,0.008516581,0.037192,0.015576991,0.039741307,0.051232405,-0.041371368,0.016015265,0.07444111,0.016510624,-0.04783252
-0.015334835,-0.031806815,-0.014299291,0.03731855,-0.003908673,-0.05353808,0.029080875,0.042519603,0.026905967,0.0007196806,0.065414324,0.008305675,0.07491419,-0.0156059405,-0.024995098,-0.005477162,-0.028084863,0.037146747,-0.032660626,-0.016001452,0.008544395,-0.04474383,0.0057652746,0.0055404427
0.006091663,-0.054722223,0.015135251,0.0104112765,0.031189479,0.045232475,-0.041088887,0.050288517,0.007232965,-0.07281637,-0.079051495,0.040481426,-0.03089974,-0.009548178,-0.0051611112,-0.056717455,-0.05627957,-0.046933915,-0.07359804,0.008934263,-0.032475527,0.012981303,-0.05995582,-0.03084395
-0.03279669,-0.018539632,-0.05866047,0.010155138,-0.054026537,0.0056236866,-0.047659267,-0.046996206,0.003131498,0.035632696,-0.04148005,-0.06583141,-0.010462014,-0.00018819113,-0.019606622,0.019620135,-0.066494256,-0.043403897,-0.07393674,-0.04951796,0.0308143,-0.06696141,-0.010281812,-0.050635558
0.009557211,-0.03483283,-0.07559188,-0.049827695,-0.076233804,-0.020552166,0.027966967,0.036515612,-0.017225878,-0.026590727,-0.016739942,0.00033487196,0.030718222,-0.0113299135,-0.0076464387,-0.0093858875,0.02516013,-0.02129149,-0.060655944,-0.0481058,-0.02378625,-0.011388646,-0.0046066465,0.011997402
-0.007727112,-0.022760626,0.0100947255,-0.0024378514,-0.031645823,-0.06856259,0.06844096,-0.03563797,0.0022835163,-0.01453548,0.06593303,-0.02805372,0.009483085,0.019435985,-0.047062885,-0.080377944,0.036529433,-0.00255418,-0.0634889,-0.03201273,0.06530657,-0.029934974,0.011692329,0.00021729666
0.088945985,0.08728133,0.05068251,0.012693044,0.086091,0.0500488,0.05844678,0.07596461,0.048645016,0.042063203,0.06673416,0.087269306,0.05999699,0.040930208,0.040275697,0.0068796487,0.038131658,0.03963672,0.0033798309,0.06337958,0.04937972,0.036588475,0.07393531,0.0077227796
-0.07759554,-0.06158817,-0.06774592,-0.046164528,-0.07088853,-0.064210966,-0.08267177,-0.07090561,-0.07263967,-0.07832285,-0.07048586,-0.08453457,-0.07747017,-0.06339617,-0.0772944,-0.06447713,-0.056571398,-0.07478273,-0.06754806,-0.05100591,-0.079543054,-0.07014702,-0.075470865,-0.067870624
-0.0117550725,-0.0024902334,-0.0429264,0.0044751847,0.0067899725,-0.042554036,0.03558913,-0.028420608,-0.037272688,-0.010430976,0.021842971,0.060986545,-0.051763125,-0.028461376,-0.04989126,-0.05176138,-0.04249042,0.0032217766,-0.040844187,-0.08238852,-0.017454198,-0.033151936,0.035515413,-0.05895482
0.001082879,0.010281092,-0.055602524,0.02689321,-0.059365947,-0.035295207,0.0069924835,-0.05456105,-0.078379974,-0.044884473,0.030751288,-0.016886214,-0.05785326,-0.017156899,-0.060858805,0.009637797,-0.008082541,-0.050965372,-0.0548719,0.0049183285,-0.029742246,0.007249118,-0.020902973,-0.006808921
