ItemNumber,Image,Audio,NormName,NameAgr,FrqPerMil.Log10,LOG10(SUBTLWF +1),SUBTLWF +1,SUBTLWF,VisComp,Length,IPA,AltPro,Morphemes,Syllables,Target,First Phoneme,CategoryName,Category-Level Cohesion,Item-Level Cohesion
331,menu_331_mono.jpg,menu_331_mono.wav,menu,1,1.039810554,1.039841632,10.96078431,9.960784314,2.5,5,m?nju,,1,2,menu,m,Uncategorized,0.217879302,0.266159447
335,money_335_mono.jpg,money_335_mono.wav,money,0.9,2.807372645,2.807375829,641.7647059,640.7647059,3,4,m?ni,,1,2,money,m,Uncategorized,0.225990732,0.282512605
374,parachute_374_mono.jpg,parachute_374_mono.wav,parachute,1,0.621176282,0.620809427,4.176470588,3.176470588,3.222222222,7,pær??ut,per??ut,1,3,parachute,p,Uncategorized,0.224669694,0.316829954
375,passports_375_cmpd.jpg,passports_375_cmpd.wav,passports,1,0.525044807,0.525425934,3.352941176,2.352941176,2.111111111,7,pæsp?rt,,2,2,passports,p,Uncategorized,0.211305293,0.240630272
382,penny_382_mono.jpg,penny_382_mono.wav,penny,1,1.402948829,1.403019534,25.29411765,24.29411765,1.769230769,4,p?ni,,1,2,penny,p,Uncategorized,0.215211988,0.255470521
441,saddle_441_mono.jpg,saddle_441_mono.wav,saddle,1,0.945468585,0.945642338,8.823529412,7.823529412,3,5,sæd?l,,1,2,saddle,s,Uncategorized,0.203586106,0.284187958
459,shapes_459_mono.jpg,shapes_459_mono.wav,shapes,0.95,0.462397998,0.462691539,2.901960784,1.901960784,1.444444444,3,?ep,,1,1,shapes,?,Uncategorized,0.166754971,0.295027676
856,steam_856_mono.jpg,steam_856_mono.wav,steam,1,1.159897312,1.159897312,14.45098039,13.45098039,2.333333333,4,stim,,1,1,steam,s,Uncategorized,0.241501677,0.231275796
504,stethoscope_504_mono.jpg,stethoscope_504_mono.wav,stethoscope,0.95,0.28780173,0.288065018,1.941176471,0.941176471,2,9,st???skop,,1,3,stethoscope,s,Uncategorized,0.140981076,0.252403226
539,ticket_539_mono.jpg,ticket_539_mono.wav,ticket,0.85,1.668106238,1.668093438,46.56862745,45.56862745,2.428571429,5,t?k?t,,1,2,ticket,t,Uncategorized,0.251206206,0.293994904
580,vegetables_580_mono.jpg,vegetables_580_mono.wav,vegetables,0.9,0.882524538,0.882379425,7.62745098,6.62745098,4.111111111,8,v?d?t?b?l,v?t?t?b?l,1,3,vegetables,v,Uncategorized,0.2933213,0.261895398
596,wheel_596_mono.jpg,wheel_596_mono.wav,wheel,1,1.448087667,1.448069458,28.05882353,27.05882353,2.6,3,wil,,1,1,wheel,w,Uncategorized,0.284769014,0.330056952
599,whip_599_mono.jpg,whip_599_mono.wav,whip,0.95,1.151063253,1.150967021,14.15686275,13.15686275,1.142857143,3,w?p,,1,1,whip,w,Uncategorized,0.197953393,0.247139902
801,airplane_801_cmpd.jpg,airplane_801_cmpd.wav,airplane,0.75,1.076333403,1.076333403,11.92156863,10.92156863,1.727272727,6,erplen,,2,2,airplane,er,Vehicles,0.304721765,0.355869936
7,ambulance_7_mono.jpg,ambulance_7_mono.wav,ambulance,1,1.369401414,1.369434151,23.41176471,22.41176471,3.833333333,9,æmbj?l?ns,"æmbj?læns, æmb?l?ns",1,3,ambulance,æ,Vehicles,0.304693394,0.253282449
8,anchor_8_mono.jpg,anchor_8_mono.wav,anchor,0.95,0.924795996,0.924887116,8.411764706,7.411764706,1,5,æ?k?r,,1,2,anchor,æ,Vehicles,0.228540403,0.319828765
55,blimp_55_mono.jpg,blimp_55_mono.wav,blimp,1,0.309630167,0.309463163,2.039215686,1.039215686,2.384615385,5,bl?mp,,1,1,blimp,b,Vehicles,0.304225871,0.301362503
81,bus_81_mono.jpg,bus_81_mono.wav,bus,1,1.876102321,1.876081932,75.17647059,74.17647059,3.888888889,3,b?s,,1,1,bus,b,Vehicles,0.336316416,0.358420383
98,canoe_98_mono.jpg,canoe_98_mono.wav,canoe,0.85,0.6599162,0.659785745,4.568627451,3.568627451,3,4,k?nu,,1,2,canoe,k,Vehicles,0.229032589,0.354875622
101,car_101_mono.jpg,car_101_mono.wav,car,0.95,2.684899196,2.684898141,484.0588235,483.0588235,3.2,3,k?r,,1,1,car,k,Vehicles,0.593613087,0.385265961
634,golfcart_634_cmpd.jpg,golfcart_634_cmpd.wav,golfcart,0.8,0,#VALUE!,#VALUE!,-,3.307692308,8,??lfk?rt,"??lfk?rt, ??fk?rt, ??fk?rt",2,2,golf cart,?,Vehicles,0.246660541,0.255366584
255,helicopter_255_mono.jpg,helicopter_255_mono.wav,helicopter,0.95,1.225309282,1.225410646,16.80392157,15.80392157,2.25,10,h?l?k?pt?r,h?lik?pt?r,1,4,helicopter,h,Vehicles,0.337283968,0.342989101
267,hotairballoon_267_cmpd.jpg,hotairballoon_267_cmpd.wav,hotairballoon,0.9,0,#VALUE!,#VALUE!,-,4.6,10,h?terb?lun,,3,4,hot-air balloon,h,Vehicles,0.228855713,0.243366648
341,motorcycle_341_cmpd.jpg,motorcycle_341_cmpd.wav,motorcycle,0.95,0.996511672,0.996580341,9.921568627,8.921568627,4.166666667,10,mot?rsa?k?l,,2,4,motorcycle,m,Vehicles,0.477468531,0.367074688
432,rocket_432_mono.jpg,rocket_432_mono.wav,rocket,0.8,1.108565024,1.108671124,12.84313725,11.84313725,4,5,r?k?t,,1,2,rocket,r,Vehicles,0.347083308,0.3315449
846,sails_846_mono.jpg,sails_846_mono.wav,sails,0.85,0.624868284,0.624868284,4.215686275,3.215686275,4.466666667,3,sel,,1,1,sails,s,Vehicles,0.246078004,0.289136552
