Vehicles,airplane,ambulance,anchor,blimp,bus,canoe,car,golf cart,helicopter,hot-air balloon,motorcycle,rocket,sails,ship,stroller,submarine,tank,tire,tractor,train,truck,unicycle,van,wheelchair
0.0062392238,-0.029405529,0.027603416,0.059517134,0.051529635,0.02364539,0.06751386,-0.028131114,-0.04280552,0.041302964,0.07426198,0.043245554,0.0633183,0.015777517,0.0076707425,0.07344274,0.066830106,0.027881518,0.07902112,0.07594728,0.03584395,0.014773338,0.07727893,0.018357046,0.048185755
0.056736935,0.02970796,-0.0160116,-0.04780424,0.040210214,-0.018829733,0.048476722,-0.007853506,-0.058411308,-0.043277815,0.047111105,0.006600515,-0.015177919,0.020666812,0.030450381,-0.041913275,-0.056091934,0.007619628,0.006137523,-0.028650928,0.022924492,0.020536449,0.020521324,0.011175132,0.0055288747
-0.061758142,-0.060090195,-0.02379384,0.009675061,-0.0071645263,-0.03403613,0.031633493,-0.044944882,0.009752857,-0.07172329,-0.04794989,-0.025952447,-0.050410528,-0.03416851,-0.0077025057,-0.036156904,-0.04836659,-0.027098404,-0.041656267,0.06310584,0.036006358,-0.0044742147,-0.00048411178,-0.03551677,-0.03409726
0.03708165,0.01115311,-0.051968697,0.04462219,0.0074204532,0.039712135,5.895708e-05,0.054742526,0.023197778,-0.04020558,0.047957588,0.050136704,0.009172721,0.012983631,0.0019865904,0.025423083,-0.007859647,0.051068466,0.03894145,0.06786843,0.03591824,0.03968128,-0.049701776,0.055783823,-0.013140899
0.004190126,-0.0026080662,-0.039925765,0.056093227,-0.0017028763,0.070457384,-0.0042800205,0.029546153,-0.05229016,0.026286088,-0.0640931,0.022983594,-0.008190239,-0.009568475,0.046405945,0.027627219,0.053278223,0.028983494,-0.030218685,0.051641967,-0.035160825,-0.015089946,0.02827536,0.07294065,-0.045670196
-0.0491519,0.011011315,-0.024613587,-0.011597265,0.033017717,0.04383169,-0.00066561543,-0.017924882,-0.031461805,-0.031644203,0.013062149,-0.006720744,-0.073096156,0.07026335,-0.013160348,0.048689052,-0.0055344864,0.0014837637,0.06123834,0.066071875,-0.046948824,-0.044478327,0.033044096,0.002109493,-0.045733668
-0.07042792,0.039623547,0.08691496,0.015800076,-0.05935194,0.043916043,-0.019341456,-0.0012834881,-0.0039295224,-0.022081872,0.0076700333,-0.02490719,0.035492916,-0.06502446,-0.018011844,-0.015126388,-0.075743526,0.016789338,0.004157575,0.0045266105,-0.024089636,-0.053353205,0.017908651,-0.0091847805,0.079828165
-0.05710985,-0.047437266,0.016957277,0.059839815,-0.04759964,-0.0582413,-0.047809478,-0.03517035,0.018629052,-0.017026551,-0.0794355,-0.041370742,-0.07497851,-0.06772958,-0.04641867,0.036274746,0.025045749,-0.0069658235,-0.030080337,-0.062329825,-0.06231316,-0.046257243,-0.002985991,-0.033987336,0.04990714
0.003509803,0.08608097,0.014984393,0.005473372,0.08387033,0.059109356,-0.07864182,-0.0072930185,0.02439278,0.08227704,0.08749079,0.07627301,0.07094911,0.021287046,-0.0006623342,0.06005623,-0.07434936,-0.030095208,0.01539747,-0.0711291,0.017334286,0.026032045,0.07162441,-0.0039194548,-0.03052476
-0.06337637,0.071968466,-0.075417265,-0.05799822,0.023128891,0.029944343,0.031350475,0.019514166,0.031567182,0.06770193,-0.03767169,0.011382711,0.054423127,0.037465442,0.021048857,0.067719296,0.039383344,0.041838456,-0.07058426,-0.058693025,-0.035063356,-0.020382093,-0.015807651,0.027201688,0.076561086
0.045873247,-0.07793229,0.00621011,0.024384383,0.05860552,0.0033959995,-0.06846888,-0.001513372,0.019413356,-0.034065824,-0.061016094,-0.0040359716,-0.003880947,-0.07961072,-0.04678039,0.034159638,-0.028128065,0.0036818993,0.054684747,0.055968016,0.003424387,0.07698259,-0.022162762,-0.06369791,-0.02485446
0.048083477,-0.02178756,0.015851503,-0.0024624146,0.012831549,0.03785681,0.03996375,0.060697358,0.03649854,0.03313935,-0.033374537,0.043535754,-0.019713838,0.065734535,0.04675164,0.017591069,-0.013096755,0.043962006,0.054588124,0.060107134,0.036941055,0.042745784,0.009983751,0.004962912,0.06938306
-0.047151525,-0.039824992,0.02497405,0.08226491,0.07058589,-0.04710672,-0.0052772094,-0.02354382,-0.027375145,0.004214531,0.07344615,-0.023003899,0.054837793,0.009230731,-0.02314065,0.047102433,0.0700999,0.0064468733,0.05308625,-0.025660079,-0.040434625,-0.0086346725,0.055657513,-0.013713857,0.043331955
0.034470186,-0.016746813,-0.059144087,0.056678385,-0.041265983,0.007219542,0.039533406,0.020101655,0.07696514,0.024108065,0.0017514327,-0.049618565,0.08149891,0.02942387,0.025219074,-0.008514222,0.027843252,0.011363454,0.07355246,0.038341608,0.02751698,0.009631622,0.044539202,0.009518437,0.029292589
