,alligator,ant,butterfly,caterpillar,chick,crab,dinosaur,dragon,duck,eel,fish,fly,frog,jellyfish,lizard,lobster,mosquito,moth,octopus,ostrich,owl,peacock,penguin,rooster,scorpion,seahorse,shark,snail,snake,spider,turkey,turtle,worm,dove,dragonfly,flamingo,goldfish,hummingbird,ladybug,pigeons,seagulls,swan,woodpecker
owl,0.3691408634338047,0.3063713586213246,0.3531266272612179,0.3793324612104002,0.33882036602810195,0.14623061027373174,0.33095743246796494,0.35457231283913004,0.317215326299774,0.34994515443116336,0.26020129508162904,0.33955190713963657,0.4098666408628483,0.3329790806456949,0.3279103267949883,0.25936452591017134,0.3042112476404426,0.447133507995905,0.4031002457322731,0.4261115704092173,1.0,0.39723765073201867,0.4500641743262572,0.38581787314730787,0.30933128271705135,0.3205642554416288,0.288477929132415,0.3161280128161028,0.3654396785726943,0.3692825004681981,0.284796446239002,0.41594869103008136,0.23298636371685133,0.3144036873203546,0.38211892330679653,0.3522963287865085,0.2827656113111374,0.47779186542158625,0.2414895829483743,0.46393032998876826,0.3996589847834111,0.38224067271946893,0.4976976796210535
peacock,0.2785716795469244,0.2798727709979588,0.3950840522393415,0.27333394219325646,0.3883764537873846,0.26345853439115796,0.32927045052354575,0.3680803279457556,0.3763503996811499,0.40741792527997656,0.4146692254379063,0.366901895449542,0.33569092803364753,0.2750596664555287,0.3684880124468668,0.27940506741254567,0.396790073144361,0.3316184783252518,0.40474485771700897,0.5314353656312352,0.39723765073201867,0.9999999999999999,0.43580768475231,0.48861459220512005,0.25453800773661583,0.41031076280767675,0.36968929574377263,0.290858345754026,0.2761946197802313,0.38444652896218745,0.3276914447387358,0.2985874028600781,0.21626375182354618,0.3541845629691791,0.4330015549801809,0.5344081004171395,0.3163241067704181,0.4920869013816003,0.2900311544471359,0.4562222263193141,0.5051015587968607,0.5567511119634772,0.45348207137667695
penguin,0.3576945724437637,0.2938755569922793,0.44715381023846834,0.32587015636133243,0.44240049638284296,0.3476124731316965,0.38607812046902157,0.3856484664764819,0.3481098484521111,0.28066698895767783,0.41082666542900736,0.3674727376818381,0.4694414417952346,0.24304017296633174,0.3215345405503405,0.31278102798222407,0.30838855952667676,0.35660928096569666,0.36158371416759794,0.44301035235762853,0.4500641743262572,0.43580768475231,1.0,0.4145846711045067,0.24173988011716685,0.3909672839614742,0.43514562363739673,0.29019334178082046,0.34983888850959965,0.4270054157164753,0.3215053160619814,0.3470136229938581,0.2490986540572463,0.3116315523731259,0.2958800204934482,0.47591991229859243,0.3881009557482098,0.44549011551222206,0.31623138313116717,0.3630216843334986,0.35314868731190785,0.3745454711603511,0.4180801256611373
rooster,0.2608876962183653,0.3128497545789568,0.4246189751999553,0.3941609541849673,0.5252787701489792,0.31071556311856574,0.2965266300386614,0.430324588758091,0.39391914143099704,0.2816595204310821,0.38844931373205627,0.3454216748774219,0.37109345165304464,0.1481994009974471,0.28918406821546727,0.2323138454609308,0.4083013783682842,0.27479499199102486,0.251257068140194,0.40164956770657767,0.38581787314730787,0.48861459220512005,0.4145846711045067,1.0,0.3586572337474052,0.3802545378292099,0.33106462391746627,0.2609316591475471,0.4140854425626992,0.34133138812049657,0.33751785527957057,0.3814068359067766,0.34727813752199843,0.29070853958352516,0.3316385415245694,0.326552312230904,0.29944774899324433,0.3121690964566295,0.22619647793752928,0.4237715901990813,0.34266719873377627,0.41369233130593286,0.4269054418566628
scorpion,0.34229039328230737,0.23972652345594603,0.3140799040874219,0.33975291367019833,0.2883987597783195,0.44736736054879,0.2538432594904092,0.4528698887951885,0.23624695432452048,0.36275390028103227,0.28287502275566845,0.2787557688999591,0.35277432139341824,0.3873322236574701,0.3752427918599843,0.35376196347116695,0.37218565498323275,0.2229936807544144,0.4118331632041097,0.3056280161637114,0.30933128271705135,0.25453800773661583,0.24173988011716685,0.3586572337474052,1.0,0.3140614302383833,0.3717405845417212,0.21576667254454285,0.3997285065831986,0.45075210385614994,0.21898947115161083,0.30683781125367404,0.28577323264883525,0.29238107210795183,0.3951436619298614,0.3093408821771574,0.21799539865447126,0.3181403056354768,0.30534163302826123,0.26589837288015505,0.1741519803602859,0.2960384300079695,0.315014227865966
seahorse,0.34785992079444217,0.2851060178310144,0.3089535028497361,0.25049183960369814,0.30786229629425943,0.4095634339301787,0.33391972129388636,0.36718635677362255,0.1778865037372912,0.4941622738460374,0.41702694739885116,0.3221232046850603,0.3907700463407908,0.4507110468658584,0.3026651001875995,0.36484615493794337,0.3304375089608853,0.2606451020679774,0.5329313328268167,0.4262201492451645,0.3205642554416288,0.41031076280767675,0.3909672839614742,0.3802545378292099,0.3140614302383833,1.0,0.4022637014230621,0.4002186691245656,0.37492191120633445,0.3069139426225014,0.21016661385044788,0.3498008243046067,0.31530578538146004,0.14387220018114866,0.3516812471761217,0.3428454658435076,0.32528616688208656,0.3814836596135711,0.22546433178650171,0.28673314477150447,0.3696034503813286,0.2619414182128952,0.31137505871222726
shark,0.44732141319216945,0.3191649669699963,0.40310019701758004,0.25269636970849263,0.23427552621077996,0.40783260450524383,0.3913532683275347,0.4591629517221423,0.38711703896058824,0.4784995702241359,0.5343008454336964,0.35284782431871364,0.33440834334465364,0.4098426744236543,0.31799474087696544,0.3052360979219404,0.3411403587398716,0.28116059005710436,0.45523090272760713,0.27161873079779,0.288477929132415,0.36968929574377263,0.43514562363739673,0.33106462391746627,0.3717405845417212,0.4022637014230621,1.0,0.4092675163605426,0.3737209637901825,0.44539550555520513,0.25787033417790417,0.44052118234614535,0.3218228375086791,0.18019522974478663,0.3607003855894968,0.31595060063743263,0.40253996859356267,0.29750127599498954,0.2190530732593985,0.33649746870230635,0.39110075576328807,0.39143969756152663,0.3226635090806256
snail,0.28309280497321176,0.38564778806467226,0.3470261263106782,0.40449432764149407,0.313943202771352,0.30897441727230435,0.21687424578838232,0.25057318194690836,0.300406405824869,0.39542340205786664,0.39702061329894534,0.36820264261816227,0.3974069607034275,0.41191673703184684,0.21228702271308575,0.29236528724150124,0.2735273852559571,0.3641504341326459,0.47065592564491077,0.35901267189962915,0.3161280128161028,0.290858345754026,0.29019334178082046,0.2609316591475471,0.21576667254454285,0.4002186691245656,0.4092675163605426,1.0,0.39901476914481515,0.41766350402065644,0.2641172992715093,0.3899660143390594,0.3578105662044879,0.24059205941827955,0.29274721714946783,0.247800336437362,0.302791720729066,0.34826864257394297,0.36093483715142893,0.3741568663337964,0.40853249050149,0.19254873269626915,0.32459814431830925
snake,0.4979863086389691,0.3245415393076396,0.35214469417053285,0.3728962894466449,0.37674335159379635,0.3693809982994969,0.3347811554757818,0.4795942014140562,0.35627669198590317,0.43112052337924656,0.45576735450501515,0.36081786448094366,0.4505387600137649,0.32472677207229883,0.4689230277486631,0.2524136996941325,0.27185620139932776,0.3539036109157683,0.43143689362597804,0.2923214922374874,0.3654396785726943,0.2761946197802313,0.34983888850959965,0.4140854425626992,0.3997285065831986,0.37492191120633445,0.3737209637901825,0.39901476914481515,0.9999999999999999,0.43996128646652877,0.28650573734570906,0.43352856642006965,0.42358255062501726,0.3290897430219506,0.28154262656365914,0.30786246111173465,0.3891573802073707,0.2926753582833942,0.23432453455338464,0.3592377374795621,0.25436709412906056,0.29136533523699115,0.3315525498209414
spider,0.3258113023729259,0.42024025975172075,0.44813648012143925,0.41395065942486653,0.3541985666187679,0.3615641871622395,0.36366166203809125,0.38395995200104494,0.3716694616354339,0.33386698860447483,0.34439843025409345,0.40510030197921476,0.458461307948308,0.2931991499555615,0.41186833675357293,0.2564636145286999,0.3987911863916298,0.44472076957457807,0.3978116891105755,0.36788607158238973,0.3692825004681981,0.38444652896218745,0.4270054157164753,0.34133138812049657,0.45075210385614994,0.3069139426225014,0.44539550555520513,0.41766350402065644,0.43996128646652877,0.9999999999999998,0.271476767546758,0.3484618530286825,0.35565801154867627,0.21737917026254117,0.43328480070926223,0.3278269343617033,0.3204982766792628,0.2992663187237572,0.3775520144838793,0.24277416531471296,0.27242353285828114,0.3555596808610437,0.4342782535972649
