Non Mammal,ant,bee,beetle,butterfly,caterpillar,crab,dragonfly,eel,fish,fly,frog,goldfish,grasshopper,jellyfish,ladybug,lobster,mosquito,moth,octopus,scorpion,seahorse,shark,snail,snake,spider,starfish,turtle,worm
0.07520954,0.053997062,0.049039494,0.027082462,0.03553606,0.068305805,0.047756813,0.016498562,0.0714549,0.06542852,0.083268516,0.039062362,0.064461686,0.029847091,0.04086057,0.026304493,0.019447993,0.045329675,0.07322678,0.062383447,0.046067733,0.022134036,0.057110157,0.06941643,0.069160245,0.05243895,0.0047462885,0.057755534,0.07795117
0.051571555,0.041652955,-0.0050267833,-0.023525802,0.046865247,0.05305337,0.077209204,-0.0026963316,0.019323695,-0.016153593,-0.020685324,-0.014953286,-0.05214414,0.008890164,0.007280913,0.008262996,0.0022039795,-0.002747375,0.065933585,-0.016184535,0.015695997,0.01228052,-0.012020709,-0.058531716,0.079470046,0.01171828,0.0670694,0.029275281,0.020975126
-0.049169064,-0.034304257,-0.07585558,-0.0051539876,-0.050353594,-0.02846472,-0.06962061,-0.078690484,0.03804599,0.079394296,-0.051359445,-5.3137843e-05,0.072778,-0.011768911,-0.032151923,-0.07415316,-0.05231061,-0.013045751,-0.050689045,-0.021315636,-0.07838322,-0.013434851,0.061909594,0.046445258,-0.07506817,-0.07832125,-0.022804204,0.019358557,0.048958246
0.02113527,-0.012789478,-0.0534734,-0.002569939,0.031318128,0.00375917,-0.031901073,0.038031496,0.049698208,-0.03426957,0.06738723,-0.014333981,-0.022567365,0.038491026,-0.0043793065,-0.009074825,0.025462301,-0.01700299,0.032084502,0.011067892,-0.0011051578,0.045617633,0.037601758,-0.0158238,0.033246897,0.016148515,0.055430617,-0.028189281,0.0024220836
0.03671715,0.05704409,0.0387671,0.0025212578,0.02834136,-0.04154637,-0.027668303,-0.06871881,-0.074426755,-0.013668066,0.0063039777,-0.079806544,-0.03861199,-0.049442668,0.01757524,0.012876623,-0.05914813,0.034655914,-0.007939982,0.029932428,-0.044548318,-0.06415795,0.05023329,0.025567703,0.026074927,-0.0058859745,-0.019361371,0.07494784,-0.015435803
0.073982075,0.022285132,0.03447075,0.04355348,0.04210287,0.062918134,0.039575387,0.032340888,0.02218632,0.030839043,0.052924052,0.061931007,0.06951633,0.02791296,0.015570146,0.057115648,0.0491914,0.015947832,0.018004268,0.054015752,0.05032791,0.07145612,0.056380734,0.037814073,0.060190678,0.04707281,0.064198084,0.064843744,-0.007386047
-0.08920169,0.027121311,0.07678883,0.05069844,-0.029395878,-0.044040654,-0.027540812,-0.010349961,-0.034015935,-0.06209161,-0.015594298,-0.076633975,0.03167517,0.07170853,-0.017976142,0.05286835,-0.017079968,-0.036920194,-0.01471307,-0.07583816,0.044731766,-0.07835536,-0.041217566,0.040537998,-0.054474752,-0.008873607,0.00026037617,-0.06922851,0.04588824
-0.050900716,-0.058149956,-0.040509373,-0.0077915136,-0.01200767,0.057963796,-0.00046242864,-0.078934416,0.03302295,-0.019675316,-0.052579835,0.050692752,-0.033052813,-0.043837532,-0.017652897,-0.0806486,0.06311637,0.00074330706,-0.0044798804,0.025984671,0.028997768,-0.023551028,0.029141806,0.027643349,-0.035437014,0.030717393,-0.06226631,0.009098642,-0.05138027
-0.0109317815,-0.07808383,-0.06619809,-0.062402353,-0.04601248,-0.044202507,-0.013484693,-0.008884922,0.057096355,0.025644327,0.053426746,-0.060607128,-0.037143633,-0.016511483,0.03341234,-0.04985705,0.052830674,-0.010404852,-0.032752927,0.017350238,0.056503333,-0.04644826,-0.02688965,0.04475657,0.004831524,-0.06261084,0.026614094,1.6636317e-05,-0.016959516
-0.08098207,-0.06131469,-0.006771221,-0.03186526,-0.035545357,-0.012566834,-0.0041510304,0.03713263,-0.015313725,-0.04741731,0.0100055495,-0.06872695,-0.031295303,0.019336281,0.018755326,-0.02740093,0.035562284,0.04087009,0.0052827615,-0.039523516,-0.06610427,-0.07303967,-0.048644077,-0.0698674,-0.059951853,-0.03129727,-0.04194594,-0.07525468,-0.06124876
-0.034879003,0.011572619,0.018210223,0.0174062,0.06477459,0.030148132,0.056258924,0.052794065,0.026856452,0.067895494,0.067240395,0.040736772,0.06505292,0.043255646,0.0472948,0.02047694,0.029154012,0.037619814,0.05266275,0.049597938,0.0366352,0.035290267,0.059890155,0.040912546,0.03274791,0.023079194,0.05322081,0.07091895,0.051920354
0.07788743,0.035332233,-0.012139885,0.056600116,-0.024459725,-0.003319493,-0.038508393,-0.015711406,-0.05265799,-0.012408737,-0.030661903,0.018728904,0.019137086,-0.027235659,-0.05049312,0.02560841,0.0013794787,-0.009309915,-0.0061624213,-0.060439676,-0.047270857,-0.06818055,-0.011063723,0.0138507625,0.049215395,0.0023836333,-0.029651469,0.07125055,-0.02077523
-0.05077524,0.046650205,0.059115414,0.040754713,0.0016763968,0.031073797,0.05564744,0.024837647,0.025976824,0.016032333,-0.011664874,0.008383861,0.015383956,0.03562496,0.0371613,0.044648893,0.04165571,0.057129364,0.044298388,0.01149643,0.0044065323,0.013558174,0.028179323,0.03258019,0.052621827,0.041956365,0.006630457,0.023804288,0.017193634
-0.023617934,0.0026890351,0.02586977,-0.046162494,-0.043400005,-0.068808235,-0.01205384,-0.0063655535,-0.048196603,-0.028224578,0.013788755,-0.010119216,-0.00030859947,0.021033326,0.008081612,-0.010463277,0.004567792,0.013025947,-0.0348373,0.008987088,-0.03007065,-0.05217658,0.009525084,-0.024687529,-0.054616023,-0.03182666,-0.029674541,0.026440147,0.00796516
-0.002080782,-0.059642095,-0.033618603,0.014630106,0.017355587,-0.0006973262,-0.0038449306,0.060847465,0.010595455,-0.051565487,0.03552978,-0.008247924,-0.027142363,0.017549256,0.025810713,0.037858985,0.047526952,-0.023760162,0.039231624,0.025148699,-0.047206316,0.030342722,-0.025661865,-0.021378689,-0.06377253,0.040316258,0.049370427,-0.06446322,-0.015642181
0.045835022,0.05627915,0.042078413,0.009061297,0.07168816,-0.031114317,0.03916444,-0.016139522,0.023220396,0.054339375,0.061383605,-0.007092613,-0.017824087,0.07334698,0.008863598,-0.061812006,-0.015095329,0.04545707,-0.044666957,-0.018972002,0.019997431,0.010453014,0.013064484,0.02293147,0.045847178,-0.010043262,0.007697592,0.036302935,0.046341456
