Furnishings & Decor,ashtray,barrel,bed,bench,calendar,candle,chair,chandelier,clock,crib,curtains,desk,disco ball,dresser,fan,hammock,high chair,jukebox,lamp,magazines,mattress,mirror,piggy bank,pillow,radio,record player,rocking chair,rug,safe,speaker,stocking,stool,table,tray,treadmill,vase,wreath
0.062470954,0.065598294,0.06991498,-0.027812328,0.037692826,-0.042050727,-0.0039954362,0.02629109,0.015020777,0.028696332,-0.04058634,-0.061110508,0.024045473,-0.011634686,0.017405886,-0.068688884,-0.029734923,0.032534134,0.05418251,0.007483835,0.047849994,-0.05055688,0.06764725,-0.0030940226,-0.02947815,0.0044964124,0.043298468,0.023517797,0.057014104,-0.024295341,0.04512077,-0.023716476,0.05576021,0.02646189,0.06414169,0.050852403,0.036719434,0.077233724
0.039252464,-0.021871049,0.05777099,0.08570964,0.052241456,-0.06121992,0.06829295,0.05877314,0.04752376,0.06816646,0.04207842,0.05847776,0.014836743,0.013383158,0.018684201,0.02464435,0.051901788,0.038508963,-0.001176671,0.04347206,-0.03265647,0.06030178,0.044286374,-0.028674718,0.056185964,0.06422566,-0.075087376,0.03993383,0.06545892,-0.031501144,0.045512944,0.057661757,0.007971568,0.03897946,-0.020920202,0.061248638,0.027737223,0.047073077
-0.066568494,0.06947461,0.036625892,0.032602627,0.06521819,-0.07755631,-0.008472179,0.032407474,0.031052066,-0.052267138,0.042440575,0.010722863,0.028526135,-0.05202283,0.0095484685,0.01572763,0.054527786,0.07179,0.04581885,-0.046126805,0.06776304,0.0136078475,0.015940132,0.07347571,0.03107431,0.00614923,0.04185258,0.015098903,0.033348575,-0.017454855,0.026588349,0.037916616,0.045505457,0.06463033,0.048501033,-0.011339844,0.036308106,0.0065836324
-0.0070018857,-0.054415334,0.020338202,0.037329156,0.0070498167,0.06790475,0.005839689,0.058076724,-0.06912538,-0.030432913,-0.04030949,-0.0014620007,-0.02145342,-0.03238515,-0.035950687,-0.05673451,0.016626872,0.017616242,-0.031763677,-0.042222757,-0.056198392,0.057280704,0.03899886,-0.012030793,0.041630086,0.03424537,-0.034541257,-0.017543769,0.008722301,0.012924706,-0.015167354,0.037846435,-0.018057331,0.038671866,0.0037640878,-0.037645645,-0.0296127,0.03874738
0.027696008,0.06487633,-0.052994557,0.052906457,0.035747886,-0.015204151,-0.057989538,-0.027847664,-0.033730213,0.023285776,0.04568992,-0.04224144,0.018652383,-0.0397894,0.03390703,0.05701715,-0.047123637,-0.03592801,0.076243535,0.004964311,0.02709293,0.06348637,-0.048265897,-0.04678449,0.06672973,0.063815095,0.051716954,-0.05879568,0.0032482506,0.006035563,0.038780447,-0.023343818,-0.07093197,-0.029954303,0.054232948,0.06798558,-0.052871067,-0.08337597
0.010273599,0.017074421,-0.05211401,0.022825398,-0.07349638,-0.051257618,-0.019975593,0.04682979,0.04286318,-0.015500446,0.08334909,0.020781212,0.049354415,0.006883547,-0.008046745,0.024639724,-0.036486197,0.058824617,-0.033496086,0.025161544,-0.0300907,-0.032737095,0.015724294,0.064986065,0.06225998,-0.0032975527,-0.030890552,0.072254725,-0.0040565836,-0.044404812,0.012075638,0.050943077,0.047812372,-0.04218664,0.020570712,-0.020109218,0.044807825,0.025336854
-0.030362982,0.009182082,0.015829088,0.04179372,0.06723821,0.0646474,0.030475408,-0.011538418,-0.008807969,0.01010897,0.043052223,0.0043677315,0.034682635,0.014022351,-0.05717021,0.050024725,0.04656563,-0.012896692,-0.0372767,0.019939872,0.026733072,-0.050515357,0.017718635,0.0024028711,0.0057948628,0.06442645,0.027323296,-0.045731053,-0.013858667,-0.0027741112,0.046790432,0.07526833,0.0041726497,0.053801987,0.052124534,0.065804794,-0.034747206,-0.013073115
-0.06630623,-0.04402631,-0.037076518,-0.043006193,-0.08421039,0.01857456,-0.045204107,-0.007031362,-0.07682047,-0.042990264,-0.050213493,0.064798824,-0.037513144,-0.061113987,0.04377197,-0.012281459,0.030316975,0.055867143,-0.013510193,-0.078194015,0.019320013,-0.04439381,-0.053043175,-0.033470146,-0.015662756,0.024025097,0.059798088,0.037118427,-0.04532259,-0.063478716,0.017022662,0.004985565,-0.06890771,-0.056315243,-0.014717832,-0.06827159,-0.06319245,0.059234306
-0.07121814,-0.068865046,-0.04003159,-0.03687573,-0.061006818,-0.034242038,-0.034849994,-0.0736951,-0.07393077,-0.056628656,-0.0635922,-0.057934873,-0.08103125,-0.022761062,-0.047393963,-0.05404335,-0.03634376,-0.0822511,-0.016754543,-0.07241597,-0.02566236,-0.041449957,-0.07823255,-0.07993029,-0.042987537,-0.031333495,-0.0726332,-0.08195014,-0.05836591,-0.026797473,-0.05404493,-0.07138409,-0.060826708,-0.07334859,-0.08125259,-0.06197998,-0.037180092,-0.027561545
-0.07814238,-0.06312703,-0.06561113,-0.047212526,-0.048704285,0.014757238,-0.056095466,-0.018631889,-0.07368293,-0.0021745365,-0.06811624,-0.073754124,0.031860303,-0.04337722,-0.036563754,-0.0077976477,-0.08346725,-0.013660725,-0.025200263,-0.07490916,0.031174727,-0.026300518,0.022868687,-0.045508984,-0.044803396,-0.07440403,-0.061012395,-0.04438334,-0.06850629,-0.029327286,0.040450297,-0.055867247,-0.03002807,-0.010019638,0.004554226,-0.054916225,-0.08548514,-0.0645561
