,bat,bear,bull,camel,cat,cow,deer,dog,dolphin,elephant,fox,giraffe,goat,guinea pigs,horse,kangaroo,lion,monkey,moose,mouse,pig,porcupine,rabbit,raccoon,seal,skunk,squirrel,tiger,walrus,whale,wolf,zebra
fox,0.3029986092470218,0.33643773287404644,0.2907940528204799,0.24184202268567823,0.3624940598009062,0.3234681070005434,0.3880703149845055,0.373786817094927,0.3622254891957355,0.2394360447903221,1.0,0.16150219567011148,0.35505951527391755,0.3075914203019111,0.3655050056377198,0.25202919864581164,0.3294483636397678,0.3304632358474866,0.3236300655965034,0.3698007612758838,0.30006334738686014,0.31031799181729824,0.36070939045061556,0.3315720226299048,0.18778351766716794,0.32946347906163487,0.34309680472710236,0.4030981827129967,0.2383669196535011,0.2354355351226557,0.502935057555179,0.3031763384155868
giraffe,0.2910618100869711,0.3275603285352158,0.31194095442591685,0.29230147267146644,0.3102734080663536,0.36090775638165584,0.4722835825422481,0.3077847932465443,0.33305755730435505,0.531728714638023,0.16150219567011148,1.0,0.37427731925912744,0.32135842264800263,0.3940845072146102,0.3852975689511675,0.40956229822556334,0.32872679793280657,0.3947861842038347,0.2636961081554672,0.2757907226155657,0.421133876845329,0.31110172143576653,0.294528198701001,0.2691171802405894,0.32443334038069427,0.32107511898688135,0.28767522025660197,0.44930299530517126,0.3579707977254978,0.31095928559847186,0.45287240751087066
goat,0.36639361568201445,0.3397759881337339,0.3589615869855193,0.3990303982739547,0.4149459146235782,0.4462952962890048,0.469227829993375,0.42981163001207556,0.34747209618373787,0.40172024509206095,0.35505951527391755,0.37427731925912744,1.0,0.33503663679037254,0.49924788152062205,0.3657818030026807,0.32645647666740574,0.4044180352401252,0.41185943339659725,0.3273602929763746,0.477598762904746,0.39257871828459545,0.4528086645567494,0.27428325769036377,0.30027478887355574,0.3453425769899885,0.4656372378742545,0.30017547660708965,0.2902672382090403,0.31958793027990295,0.42191649212721516,0.33391008435885583
guinea pigs,0.2741790428304196,0.20641954779359228,0.24178819538881124,0.29390006602763297,0.35790615164177164,0.28082906220500825,0.3188697409472536,0.3924030605776778,0.34390079540321206,0.35163489063915243,0.3075914203019111,0.32135842264800263,0.33503663679037254,1.0,0.4978203154626265,0.2521205749338138,0.2893622753929266,0.3062005658797349,0.31501897846377747,0.3380243184260654,0.5331558377136139,0.3763659671916715,0.5475563131601214,0.2797457983600624,0.18795362678741712,0.3424192280730647,0.27564641518675903,0.25165130589897444,0.30211667117669294,0.14730123552948393,0.28729173021549326,0.3762988003103218
horse,0.4150245887899502,0.42628080272337043,0.45887925981043587,0.3629060071485517,0.5410541907858653,0.553718575506538,0.48023339696372,0.5956302529922726,0.3093313843262999,0.47674290454230306,0.3655050056377198,0.3940845072146102,0.49924788152062205,0.4978203154626265,1.0,0.3554916269256536,0.4336705244069283,0.44289828211485616,0.42426994680379937,0.40555732524463384,0.4668289171707223,0.4300865536465741,0.581052644586334,0.3314388067139702,0.2956639030290753,0.3996483155813547,0.3187371817692606,0.39931938054551885,0.3415777265706508,0.373096201200791,0.43283179202234756,0.4197109013482966
kangaroo,0.43461081821629444,0.41277544059289073,0.2579657309684015,0.44642155706949516,0.3636358232294976,0.4618331089817207,0.42286552960864676,0.355255768597992,0.35300485022116557,0.45821067424263706,0.25202919864581164,0.3852975689511675,0.3657818030026807,0.2521205749338138,0.3554916269256536,1.0,0.3386896468843984,0.41933516040812835,0.4071926379337426,0.2840197731368852,0.33451761783450595,0.3754193191666102,0.4390671884728691,0.3708423086316277,0.29831144881207705,0.35706591016405387,0.37636863286726596,0.368159079074896,0.34894456522781325,0.36000153889734987,0.34632577069474224,0.38520711654356377
lion,0.36290822417170665,0.49098998469124777,0.35005020569077594,0.3509270694110256,0.4466597557853762,0.3127119209775133,0.4111306679354074,0.3998824233523717,0.30553250338115445,0.5054773869069703,0.3294483636397678,0.40956229822556334,0.32645647666740574,0.2893622753929266,0.4336705244069283,0.3386896468843984,1.0,0.5164601820131751,0.42454319669231655,0.34852980037941805,0.33592968847548876,0.3734621101780673,0.4088693968816257,0.3699812043866071,0.39528839737362564,0.2485377328091759,0.3141046314272058,0.5287590910179266,0.4217157512754952,0.40118469851742056,0.45399427098754863,0.447093092920974
monkey,0.41880026986425345,0.3907333511416031,0.3303038968427159,0.3828554225197188,0.48323951608064475,0.43590996413990757,0.343694673705236,0.47577019843286483,0.3925343718869613,0.42282803284718273,0.3304632358474866,0.32872679793280657,0.4044180352401252,0.3062005658797349,0.44289828211485616,0.41933516040812835,0.5164601820131751,1.0,0.38902437946976387,0.3754144797549199,0.4477383599620085,0.41132828685338274,0.4344960448604207,0.36107928279698087,0.2449422383199853,0.34673591414193494,0.35289400756097977,0.5143384437897713,0.32210467290168276,0.3343266597614982,0.406911482774425,0.46212249242086534
moose,0.3813496310842479,0.4232185385882663,0.3069430289198163,0.43022215862476076,0.3384368978159099,0.4045317840414482,0.5255163730957042,0.351064055440393,0.254767432202322,0.403502809549807,0.3236300655965034,0.3947861842038347,0.41185943339659725,0.31501897846377747,0.42426994680379937,0.4071926379337426,0.42454319669231655,0.38902437946976387,0.9999999999999998,0.4758675869412776,0.3645895745576859,0.4280120924454629,0.38819514470764305,0.34229174021356,0.33185263874162485,0.3748426733155453,0.3497650738973954,0.3292145621825544,0.43701849417811034,0.32820771888755174,0.4074902137788665,0.3698374515709818
mouse,0.4752874948001613,0.31425263090970346,0.30272809369776554,0.2274058639366534,0.5705878206799911,0.3686655063979609,0.39601761971093064,0.49640468212011757,0.3052856863665687,0.36443333974853553,0.3698007612758838,0.2636961081554672,0.3273602929763746,0.3380243184260654,0.40555732524463384,0.2840197731368852,0.34852980037941805,0.3754144797549199,0.4758675869412776,1.0,0.35284729083300026,0.33121391301041114,0.46924710705717265,0.2881334399722617,0.28234360663017755,0.23667601911549896,0.37931237901158066,0.3452885858934964,0.3653992845700127,0.29609137529974805,0.36715032212707066,0.28914532459047493
