Mammals,bat,bear,bull,camel,cat,cow,deer,dog,dolphin,elephant,fox,giraffe,goat,guinea pigs,horse,kangaroo,lion,monkey,moose,mouse,pig,porcupine,rabbit,raccoon,seal,skunk,squirrel,tiger,walrus,whale,wolf,zebra
-0.039735716,-0.051038995,-0.04798698,0.027226718,0.022508366,0.039366633,-0.043924756,0.020409225,0.035071377,-0.044888984,-0.016273877,-0.07554414,0.019761588,0.024054885,0.024216527,0.040584188,-0.012039091,-0.011551178,-0.06629735,-0.03454268,-0.047771562,-0.02333125,0.0432746,-0.015128936,-0.06802648,0.050026715,-0.01695606,-0.046088636,-0.075772926,-0.0074896407,0.023079598,-0.0016917123,0.0770585
0.020196402,-0.018117743,0.015561277,0.0066530425,0.011862829,0.05139771,-0.0037645162,-0.024613416,0.008290836,-0.066298954,-0.0028508087,0.021836169,-0.058992352,-0.046337284,0.026881402,0.032521974,0.00846573,-0.04132912,-0.039068364,-0.067118526,-0.044108387,-0.064041644,-0.02484711,0.022187175,-0.0044199917,-0.05384665,-0.045466945,-0.023220908,-0.0431347,-0.039761443,-0.009030282,-0.030337606,-0.019532638
-0.03778827,0.04561234,-0.051609598,-0.06644146,0.016792104,-0.018732497,-0.07364103,-0.063422956,-0.0032209551,-0.026138093,-0.03386862,-0.04633532,-0.047172535,-0.004709623,0.02146642,-0.013196802,0.038279273,-0.051092327,0.009841517,-0.07252952,-0.05540609,-0.07239798,0.031541705,-0.03215024,-0.07044839,0.027013546,0.016311929,-0.056908086,-0.054499574,0.04907892,-0.031123094,-0.070392825,-0.004928736
-0.08037105,-0.013912241,-0.054519743,-0.032352857,0.0013664652,-0.011745239,-0.010787877,-0.043746296,0.035522595,0.031829532,-0.056136772,0.033528816,-0.06765846,0.0029438825,0.06108019,-0.0030782234,-0.067287624,-0.041636128,-0.054962877,0.018184515,0.027992515,-0.04525869,-0.036905963,0.033100042,0.0162326,0.015523925,-0.033669338,-0.049035456,-0.026406588,-0.06547755,-0.046146803,-0.014300033,0.0006404182
-0.037296686,0.03734897,0.05315223,-0.0023296967,-0.04942994,0.026774371,-0.03204583,-0.033558223,0.015538417,0.03720398,-0.032000344,0.021161906,-0.003385984,0.003410886,-0.0026539688,0.018877218,-0.006391448,-0.002098738,0.020787876,0.044951364,-0.009238074,0.004040601,0.04280991,0.041299883,0.0619391,0.06441549,0.06208215,0.04033308,0.01805323,0.052288514,0.0072955666,0.0311297,0.0050924816
0.006356729,-0.004953355,-0.03457423,0.032231256,0.06548063,0.052895986,0.043084916,0.04941143,0.036727976,-0.030875422,0.030357184,-0.027741304,0.014985589,-0.019491175,0.00423029,-0.0105793,0.07474682,-0.03875663,0.041695096,0.079665646,0.06023565,0.015006005,0.07657275,0.057178225,0.024212938,-0.014752286,0.034478936,-0.037059836,-0.001213048,-0.007795059,0.0037822162,-0.035709463,0.066766545
-0.064478286,-0.033522896,0.06170207,0.077147655,0.031800173,-0.019578062,-0.06757868,0.0056199464,-0.014056598,0.0381696,-0.07992269,0.064576276,0.0069110575,0.040533304,0.020160357,0.038472623,-0.05104302,0.040441196,-0.040508382,-0.0151094,-0.0007531244,-0.040683005,-0.044211473,-0.011083612,-0.01875152,0.037994474,-0.0158787,-0.030948786,-0.009518466,-0.049809337,-0.045563437,-0.021097759,-0.029742459
-0.016475212,-0.027482456,-0.03371364,0.01706028,-0.060586274,-0.036248524,0.0024445523,-0.07153359,-0.05783509,0.0013178951,-0.05485882,-0.004983006,-0.072556555,-0.047094207,-0.06477159,-0.054458365,-0.046436165,0.021219786,0.051461004,0.0045758625,0.012362237,-0.008971686,-0.045335617,-0.046972483,-0.053209823,0.046077933,-0.06388561,-0.059715826,-0.008797822,-0.004165538,0.014939892,-0.03511781,-0.046018586
0.06287138,-0.036530472,-0.061103273,-0.04991026,0.030372936,-0.0052559543,0.008006091,0.011882215,0.033433124,0.048849408,0.028498923,0.002282104,0.0108974455,0.04208676,0.06660877,0.03717993,0.025191823,-0.030501394,-0.011582978,0.011905133,0.017503204,0.042293843,-0.0045936336,0.01824727,-0.008297671,0.034826063,-0.0010055191,0.021079896,-0.015076447,0.020444095,0.029443745,-0.039084766,0.019078823
0.034019984,-0.019539258,0.061474394,-0.001773489,0.059889358,0.0536819,-0.0031663196,0.063124545,0.076416194,0.0077041117,0.03661214,-0.053005945,0.05248682,0.061508648,0.050656207,0.038824376,0.07018487,0.046719104,0.02466538,0.07913802,0.021656688,0.053598724,0.04542024,0.0506601,-0.030946817,0.048126526,0.006874216,0.05227664,0.049105838,0.034098856,-0.0062609278,0.06131647,-0.00652108
0.03535766,0.0011371443,0.06575089,-0.0047276216,0.029284615,0.023255749,0.03223585,0.04445471,0.0064134,0.022935249,0.05854391,-0.019562108,-0.021502959,-0.03144397,0.037801795,-0.0014495931,0.058388807,0.018644398,0.014197711,-0.039023057,-0.031471662,-0.002466152,0.043921776,0.0025947965,0.018223474,0.0593989,-0.021502165,0.012634641,0.06978282,-0.06343804,0.009654106,0.031597592,-0.058039807
-0.017210955,0.035194572,0.01110151,-0.023661606,-0.04988678,0.017370285,0.032799058,-0.029476225,0.093203224,0.054443534,0.017013354,0.040928166,0.012731678,0.028176835,0.017756375,-0.028068872,0.035376027,0.0086727,0.06258882,-0.06984256,-0.064080566,0.0030180172,-0.019114984,0.014125404,-0.027187318,0.021806328,-0.06722432,0.023870092,-0.03439398,-0.045975547,0.018858563,0.03531396,0.026894663
-0.019731175,-0.054306183,-0.0012125402,-0.009074691,-0.018050585,-0.03704618,-0.04894032,0.008476668,-0.018065322,0.037761703,-0.053283323,-0.046640914,-0.044638578,-0.041904517,0.009394766,0.018221598,0.0418587,-0.0027075096,0.03156178,0.01945933,-0.04198523,-0.026436655,-0.056027208,0.008608538,-0.026934726,-0.04460608,0.012471725,-0.046000022,0.06973542,-0.069162175,-0.0672361,-0.068685815,-0.012634657
0.026821993,0.060335472,0.059369568,-0.0024187528,-0.01642655,-0.0007370146,0.007977991,-0.03183036,0.002426127,0.06719047,0.03420668,-0.039460625,0.041688435,0.009879135,0.016657459,-0.023490516,0.07705055,0.07873574,0.057573162,-0.06328071,0.0064487755,0.05074528,0.07289372,0.019536538,0.07360752,0.0071629738,0.04546567,0.034967795,0.016231526,0.028006613,0.08193078,0.067218326,0.07612661
-0.058540616,-0.01078903,0.058609005,0.011506537,0.033837102,-0.025862262,0.030305488,-0.054256264,-0.018158255,0.06512703,-0.031706575,-0.008360406,-0.061159585,0.007937778,0.028422447,-0.01515949,-0.02138494,-0.07527367,-0.03327913,0.01475536,-0.0662332,0.025197776,0.021796511,0.0033278852,0.027785769,-0.012093307,0.05639413,0.07164541,-0.03583425,-0.029628415,0.011692207,-0.0016903508,0.0052713295
0.035599355,-0.032569453,-0.031815317,-0.08439424,0.0068479646,-0.059993707,-0.041438796,-0.013455875,-0.075665265,-0.032005917,-0.06327145,-0.053606257,-0.044405747,-0.04752333,-0.039606154,-0.062924676,-0.0024208229,-0.038693685,-0.05140456,0.047006104,0.0031762933,-0.05740195,0.0017438759,0.03286876,-0.04446513,0.051907826,-0.0021542788,-0.004602344,-0.063881144,-0.04345979,-0.05481183,-0.06046007,-0.013736913
0.015453931,-0.016807763,0.07764644,0.011719039,-0.036202867,0.053278834,0.0010491264,0.025742475,0.057796344,-0.03126778,0.017126786,0.02666146,-0.06431341,0.033155296,0.05898847,0.058212444,-0.028473709,0.04849168,0.063765556,-0.013965134,-0.00454007,0.06388228,0.0018463038,0.05372633,0.028008249,0.0035422894,0.018404726,-0.05329117,0.061744217,-0.059204657,0.0075952383,0.041099776,-0.014327737
0.043199725,-0.021963118,-0.0765371,0.031346034,-0.06430659,-0.033613283,0.038071685,0.06994454,0.019750744,-0.047842454,-0.03168506,0.03840367,-0.0530765,-0.018129215,0.076217845,0.00045835608,-0.05657607,0.041073415,-0.017679779,0.014416687,0.06995932,0.009211501,-0.029964305,0.06929739,0.019333173,0.034276478,-0.03368167,-0.01196823,-0.047315173,0.06516153,-0.0174122,0.015800795,0.03813111
