Musical Instruments,bagpipes,banjo,bell,clarinet,drum,guitar,harmonica,harp,piano,saxophone,trumpet,violin,xylophone
-0.07205712,-0.06946925,0.050537135,-0.033145733,-0.021014402,-0.070483916,-6.7504036e-05,-0.023414882,-0.00261662,0.05301844,-0.028434936,-0.06628603,-0.00762005,0.049387127
-0.08205675,-0.07934066,-0.07365825,-0.066408716,-0.0767116,-0.077694125,-0.08248693,-0.07539059,-0.0849979,-0.076412335,-0.07786792,-0.08006497,-0.07460222,-0.06411176
-0.068008214,-0.059684504,-0.010235114,-0.045627028,-0.001827769,0.029707454,-0.047021873,0.025751118,-0.017702943,-0.04038268,-0.030146556,-0.045095067,-0.06853436,-0.035928305
0.0006492008,0.013223971,0.0018698841,0.07018728,0.067004554,0.073714025,0.04321432,0.029341618,0.034338173,0.065990604,0.046240836,0.06580434,0.02372251,0.035627287
-0.02694667,0.0055697677,-0.02475367,-0.017150171,-0.044340737,0.026330652,-0.02311602,0.020503746,0.00475722,-0.056831438,-0.035684314,0.04036394,0.015948871,-0.00468924
-0.08268498,-0.065821014,-0.068793,-0.018836956,-0.049559146,0.007160827,-0.08468068,-0.0738115,-0.01950239,-0.080316745,-0.07771458,-0.038937196,-0.07366114,-0.06835703
-0.04356248,-0.02301285,-0.046926245,-0.026442459,-0.011496807,-0.04671486,0.0005848263,-0.03376691,-0.048443276,-0.03273502,0.012029707,0.031953227,4.409283e-05,-0.04447178
-0.01920485,-0.0085722245,-0.057717193,0.03392598,-0.06395369,-0.037063006,-0.016335256,0.05290943,0.0072921813,-0.045941975,-0.06583485,-0.06406442,0.020559128,-0.05107328
-0.01909143,0.0011666878,0.04549303,-0.06111294,-0.035271384,-0.009941829,-0.06487001,0.01554942,-0.04281734,-0.061583675,-0.05333247,-0.03698815,-0.07654502,-0.04785029
0.020374736,0.043143414,-0.0069472888,-0.0025064268,0.02104353,0.030528588,0.015757503,0.022955189,0.04616282,0.018678278,-0.011643194,0.024702016,-0.038023252,0.050245956
0.03848927,0.06338419,0.07652299,0.072905935,0.066912316,0.075646944,0.04936538,0.0607559,0.08020473,0.06418029,0.064927086,0.071804255,0.049154118,0.080715746
0.07616877,0.064999655,0.055213336,0.049548797,0.067142576,0.07322366,0.031326927,0.050963476,0.056143217,0.045894068,0.06227898,0.06319349,0.048127964,0.062491696
0.067652404,-0.023450855,0.07592883,-0.06507439,0.06789955,0.060080964,0.06598463,0.051666968,-0.025202421,0.0569168,0.048234854,0.04466127,0.05619881,0.041082155
0.040111035,0.026731538,0.023450106,0.061401565,0.01884573,0.035544455,0.02970099,0.0453036,0.07634097,0.051948003,0.031354237,0.0031836317,0.04735558,0.075049505
0.061514974,0.06617262,0.056360193,0.060836807,0.040429655,0.04761635,0.06759291,0.058736615,0.05700105,0.07343278,0.03285281,0.06803341,0.06659158,0.073145404
-0.052376494,-0.05935865,0.015417108,-0.007000667,-0.06820098,-0.062196344,0.060417086,0.010847929,-0.07053906,-0.046760406,-0.017342364,0.040946383,-0.029958038,-0.029737053
0.028761942,0.048020836,0.021540437,-0.02538347,0.05111622,0.04645717,0.010731486,0.019009268,0.021888232,0.012848108,0.022645533,0.05448525,0.05304623,-0.038419824
-0.037942916,-0.06113876,-0.071214795,0.054850005,-0.054632302,0.046153404,0.00061446696,-0.075936854,-0.07892047,-0.049616706,-0.066255026,-0.0759027,-0.06508614,-0.03380511
-0.03796025,0.018154643,-0.04313838,-0.033264767,-0.062825,0.023694666,0.007972542,0.029302418,-0.0325732,-0.040792678,-0.040804848,-0.07086779,-0.030197602,-0.035740174
-0.047711436,-0.058697723,-0.022946177,-0.03481529,-0.04953198,-0.010957203,-0.072362036,-0.017972294,-0.059617992,-0.06620237,-0.058430593,-0.0610615,-0.054568246,0.0001906294
0.040548824,0.055160396,0.019939197,0.021529231,0.029796004,0.076194905,0.067926124,0.03815225,0.018345643,0.046416525,0.054505732,0.04546248,0.041063607,0.049774513
-0.08269958,-0.081169635,-0.07806625,-0.0679608,-0.07913291,-0.08553417,-0.08510392,-0.0767656,-0.088470645,-0.08065265,-0.07847487,-0.08072333,-0.07836044,-0.08170231
0.0057728193,0.017413858,-0.06417276,0.01985496,-0.0036491922,0.0073534823,-0.055892263,-0.05267153,0.005086444,-0.048309922,0.013057047,0.05016238,-0.028020617,0.047559153
-0.014754389,0.0075599886,0.0075991945,0.014236014,0.067613855,0.06888957,-0.07644578,-0.053548794,-0.032364517,-0.017658606,0.020303277,-0.014275107,-0.036508977,0.024504017
