furnishings,barrel,bed,bench,chair,closet,crib,desk,drawer,dresser,globe,hammock,highchair,lamp,mattress,mirror,picture,pillow,plunger,safe,sewing machine,statue,stocking,stool,table,treadmill,vase,wreath,radio
-0.037219014,0.015829083,0.04179373,0.0672382,-0.011538381,-0.028396867,0.043052185,0.034682605,-0.001844018,-0.057170216,-0.009969912,0.046565622,-0.028289922,0.019939903,-0.05051538,0.017718656,0.025504025,0.005794882,0.03051806,-0.00277415,-0.06406642,-0.04606568,0.075268336,0.004172645,0.053801987,0.06580479,-0.034747217,-0.013073104,0.064426444
-0.058796667,-0.03707654,-0.043006178,-0.08421038,-0.007031387,0.040390696,-0.050213486,-0.037513103,0.001902249,0.043772,-0.059426084,0.030316956,0.021204025,-0.07819403,-0.044393823,-0.053043153,-0.028056765,-0.015662752,-0.03044516,-0.06347873,-0.016631505,-0.003545614,0.004985564,-0.068907715,-0.056315232,-0.068271585,-0.06319246,0.059234288,0.024025075
-0.044733923,-0.040031575,-0.036875747,-0.0610068,-0.07369511,-0.04448898,-0.06359221,-0.08103125,-0.058110062,-0.047393974,-0.066234194,-0.036343787,-0.06416635,-0.07241598,-0.04144992,-0.07823255,-0.08332778,-0.04298754,-0.06898333,-0.026797429,-0.07366964,-0.07713483,-0.07138411,-0.060826704,-0.07334856,-0.061979987,-0.037180062,-0.02756155,-0.031333465
-0.086600944,-0.06561113,-0.04721253,-0.04870427,-0.018631866,-0.024412632,-0.06811624,0.03186028,-0.006955481,-0.03656375,-0.011849538,-0.08346726,-0.010203846,-0.07490916,-0.02630049,0.022868663,-0.023730308,-0.044803403,-0.07505797,-0.029327309,-0.06874625,-0.027602592,-0.05586726,-0.030028114,-0.010019642,-0.05491623,-0.08548514,-0.06455608,-0.074404046
0.06056619,0.056007925,0.07842705,-0.037634596,0.0845064,-0.0641037,0.028009038,0.083812065,0.001307655,0.06127826,0.053785224,-0.001890972,0.06329719,0.0710824,0.041689202,0.041334633,-0.07492143,0.004134719,0.003146087,-0.07275063,0.060545962,0.013991747,-0.04110855,0.037561223,0.04098886,0.064125314,0.07372557,0.073912725,0.069323994
0.010143984,-0.04207503,-0.06993767,-0.08322121,-0.05164766,-0.053450495,0.007027836,-0.043300852,-0.038556155,-0.003754327,-0.06323089,-0.041990478,-0.010633399,-0.03578757,-0.04417883,-0.0001489,-0.020366782,-0.06460069,-0.013924852,-0.025466569,-0.039651494,-0.010390131,-0.005293013,-0.024197657,-0.04566279,-0.029112993,-0.008324956,-0.015921906,-0.007547848
0.008934693,-0.009948975,0.08493833,-0.013274052,-0.003237467,0.04250885,0.052516267,0.025399234,0.002048654,0.030673424,0.06237924,0.07288423,0.027813528,0.069204725,0.078870885,0.011788162,0.042126894,0.07207825,-0.05794294,0.009825224,-0.040189523,-0.05374092,-0.017117042,0.024641786,-0.052548148,0.05614403,0.046232708,-0.017061261,0.001272384
0.034771442,-0.055253293,0.03197328,0.060723,0.015762998,-0.004685962,-0.034858283,0.067140214,-0.014000607,0.05991683,0.027774962,0.029000418,-0.022971172,0.05377841,-0.01373706,-0.009885551,0.06926285,-0.03392985,-0.01514933,-0.010920174,0.000315022,-0.012735731,-0.050177075,0.086223036,0.06645036,-0.009723148,0.06332394,-0.046296842,-0.015054286
-0.001783863,0.08673866,0.060594432,-0.027383588,0.004507375,0.053684812,0.07911548,0.022722062,-0.030480996,-0.023126978,0.012340355,0.07600928,0.0372644,-0.009818791,0.07272357,0.05731288,0.012456408,0.044638958,0.03717897,0.004205782,-0.04501936,-0.02172549,0.025003562,0.006076474,-0.08267,0.069476366,-0.048837677,0.047304247,0.01091343
0.0414824,0.06084595,0.022515938,0.07404777,0.007280264,0.0488999,0.019467367,0.010567835,0.04149523,0.025649764,0.051590644,0.049777534,0.016679466,0.009340031,0.003185145,-0.009018235,0.040804937,0.041804392,0.004016314,0.047366403,-0.055575475,0.04975303,0.07764831,0.019769046,0.050584882,0.021300467,0.07254075,0.06772662,-0.005101183
0.044963587,0.0554646,-0.001609072,-0.016228402,0.018714089,0.0216096,0.0728221,0.012660274,0.05029305,0.059866816,0.036045466,-0.007831465,0.065045595,0.046475325,0.01334582,0.008411163,0.001095476,0.022846634,0.003357487,0.06858077,0.071837895,-0.010371827,0.070945546,0.06469095,0.012615451,0.048047315,0.039501842,0.0766299,0.041168097
0.082750894,0.086219184,0.089777134,0.08363627,0.07689942,0.08639039,0.0701436,0.08175704,0.06437504,0.08972068,0.07741965,0.068593025,0.06293698,0.07645453,0.07637434,0.069771744,0.08338442,0.07364788,0.065120004,0.09441282,0.066649504,0.072176546,0.082695894,0.07524179,0.0876932,0.060455877,0.054082166,0.08086199,0.07823715
0.023768302,0.028916446,0.0909904,0.07405566,0.071373925,0.048404064,0.04463372,0.0788175,0.06943606,0.063143045,0.08194379,0.04180839,0.041104008,0.07259202,0.06463252,0.069846414,0.07903522,0.04431816,0.040870696,0.06034124,0.06182028,0.06054825,0.07066275,0.056094933,0.0770408,0.058511082,0.02599084,0.042899083,0.076178536
0.0319918,-0.089353494,0.005647331,-0.000580344,0.03177008,0.046804298,0.062197875,0.028561765,0.0710305,0.063013464,0.06298028,0.054829765,0.05546927,0.076064885,0.055561587,0.016338266,-0.009080088,-0.027646009,-0.047185104,0.014707245,0.070654385,0.053026002,0.0384947,-0.020678367,0.059109982,0.073403426,-0.07270937,-0.007012479,0.012793424
-0.03145223,0.019160314,0.011126879,0.009287954,-0.046452165,-0.026078401,-0.04632801,-0.042273246,0.047944963,-0.056564197,-0.009973269,0.058226194,-0.07036309,-0.0462615,0.033952605,-0.06937857,-0.056837592,0.020706547,0.044513144,0.008785891,-0.003514967,-0.0590513,0.044362415,0.05691834,-0.07029832,-0.045735028,-0.045033406,-0.046350952,0.035720658
0.030541314,0.031795252,0.03554997,0.015396372,-0.06790848,-0.042384133,0.006997384,0.014576038,0.019527104,-0.011661195,0.050853185,0.027518313,-0.06516195,-0.038702767,0.007262195,-0.003140915,-0.07670365,-0.02262279,0.020440582,-0.038577978,0.012551084,-0.055541914,0.012858399,0.019092562,-0.018802071,0.05913142,-0.04750597,-0.014727958,-0.035316695
-0.017112873,-0.042494427,-0.0396789,0.06330479,0.04724809,0.05588055,-0.04337885,0.051609688,0.021281756,-0.00114715,0.0620365,0.02583337,0.042955086,0.05434827,-0.060295366,-0.022018516,0.0001679,0.07152506,0.068852074,-0.04283154,0.018047974,0.030787557,0.007148563,0.076914944,-0.003039682,-0.052146833,-0.001103488,-0.056225862,0.03365717
0.084596656,0.07246548,-0.001590445,0.07125802,0.0625947,0.08054216,0.0787027,0.071642905,0.060529757,0.06286313,0.075625665,0.04093442,0.07249843,0.06293263,0.03633301,0.03910668,0.07678553,0.06572462,0.054987986,0.087341204,0.061922416,0.069122285,0.06809982,0.07095192,0.0816629,0.07290846,0.05943871,0.079297766,0.06495173
0.006814364,-0.03529869,-0.023864951,-0.06046499,0.045435697,0.001546837,0.048742775,0.002408934,-0.019146606,-0.03365562,-0.01642937,0.08238743,0.009562624,0.070452414,0.02722402,0.07815328,0.033366296,0.013302541,0.032561533,0.011082416,-0.04189763,-0.017703842,0.012675087,-0.018083656,-0.06941155,-0.000916964,0.072395384,0.026066462,-0.003683311
