,antler,arm,beak,beard,black eye,bone,brain,bruise,chest,chin,ear,elbow,eye,feather,fin,finger,fist,foot,hair,hand,hoof,horn,lips,lungs,mane,mustache,neck,nose,skull,spot,stomach,tail,tattoo,tear,thumb,toes,tongue,tooth,trunk,wing,wrist
horn,0.43841270848754843,0.3205791907071973,0.4734737164853561,0.25637313472167667,0.3309812648408438,0.26979556833744156,0.26677010803555645,0.30581419729104886,0.3699272127485793,0.3240301817557423,0.427400094126101,0.36810088443886446,0.33718316850545726,0.36414862021627836,0.28005516026974586,0.3678362954741181,0.404364785686691,0.27750444094282334,0.27610542193606824,0.355261412644288,0.36400749629672724,0.9999999999999998,0.4000464646660329,0.2586587305912694,0.34731646404767136,0.3408786517927138,0.3744381337381739,0.3288567336980158,0.35223271740297735,0.306255477839217,0.27864825659536585,0.4388610859087734,0.23130780386815553,0.28559952616225404,0.35388821573348594,0.2932867922826582,0.32153302074771495,0.32293046265095504,0.4980147130654202,0.3933917032813449,0.37115029670316635
lips,0.262454235088907,0.4031269859505162,0.5054665676007399,0.3336604730622079,0.4386185020192106,0.3426715399426441,0.4087563138758228,0.32262363059612076,0.4501230984308455,0.4953553668441504,0.4693952796014611,0.35671649122747473,0.49544126971953895,0.3761412224310783,0.28368183349450304,0.4820412055254115,0.39785666640065553,0.3994550135050159,0.5062578351905888,0.3753449431259852,0.2766934581797159,0.4000464646660329,1.0,0.43932227757222064,0.2811555829455238,0.4468774775008133,0.46098407992128343,0.5112178729788383,0.30670681588594917,0.2803863512478365,0.46930939197886534,0.34515761445256166,0.3904285332802968,0.3073361156994119,0.41531215132763677,0.40679029785170684,0.5837169012123655,0.39950748177914464,0.4077433822982772,0.4046754400879966,0.4294815215225045
lungs,0.30588889151590126,0.3663921264465696,0.3419505193815837,0.3068278985869328,0.2650520361651161,0.36946904829628757,0.41474151109131063,0.24180344298233447,0.5700695194832427,0.37605264591206145,0.3792866301270944,0.36108557319321954,0.3239362005171691,0.2971019832574735,0.23264656060938482,0.2773197883112324,0.32636972681147947,0.4064088308406608,0.4085309265392547,0.2939530622174935,0.2611320398423589,0.2586587305912694,0.43932227757222064,0.9999999999999998,0.2874658539659234,0.20226315778018678,0.39571498043778064,0.42242000748913555,0.4023787748655898,0.20259341905476558,0.40439861590460446,0.28630811920369625,0.346288968297905,0.2392835627245642,0.26340371707796284,0.412576022512001,0.4120646461736812,0.29709536860573094,0.4370571770899503,0.34643587770111695,0.3457387123696807
mane,0.45059253974510494,0.2486230610358796,0.42251943878496445,0.348152765282741,0.24011359039065117,0.29374350648625835,0.297397614811829,0.2187387612345788,0.27786374858222784,0.2385185501810958,0.28951484109952785,0.22135662266966893,0.2989715556221333,0.340285505570288,0.19106386345567672,0.28498533997865594,0.24153175783453762,0.35049318467866897,0.4284656700286187,0.28058980343893847,0.5179420898603482,0.34731646404767136,0.2811555829455238,0.2874658539659234,1.0,0.23673157947187473,0.3317587186031463,0.18254684117854425,0.3120123474140575,0.2380432529499118,0.1803824100733109,0.3301429060268817,0.26057574616699797,0.24054037486045154,0.302177488076246,0.2559295514499278,0.2928274541892537,0.3080122270942942,0.2701482552605716,0.35765772878149016,0.3253882994594832
mustache,0.29340853337388073,0.3046748080462871,0.3003788577540334,0.601900437201733,0.29808207996569,0.19459214562836402,0.23914307167485727,0.24578585818318321,0.3756999594721605,0.49910968729815264,0.40457558358919254,0.1757356791871596,0.35528619995409816,0.26809842470572853,0.22735117905975644,0.2719610852950851,0.2865578662808477,0.2995343064172209,0.4802820344501164,0.26037281479403795,0.2656126439766563,0.3408786517927138,0.4468774775008133,0.20226315778018678,0.23673157947187473,1.0,0.30192055523179073,0.4283197398161753,0.2458375543576019,0.3678585694973977,0.3337647413904119,0.3992337778766144,0.32437588138591955,0.2844581338720088,0.3866718448068919,0.2872998340614814,0.4607650236270472,0.3792739270139709,0.33830525667220523,0.28606455035975764,0.27776122067996223
neck,0.3560180255473744,0.5419031576688798,0.45948773382204844,0.37627966715076633,0.3757627178359142,0.4527517883844101,0.42147976175727564,0.4167406301729122,0.5712287262649307,0.5408791411395021,0.5225072382833672,0.47323204751974957,0.41898937111684864,0.4100816577020032,0.30022270005131335,0.4849633218131295,0.3847010864790319,0.4602127377339986,0.4318719466880445,0.44360389071684825,0.29282986514391574,0.3744381337381739,0.46098407992128343,0.39571498043778064,0.3317587186031463,0.30192055523179073,1.0,0.4293301666647309,0.5295211739071704,0.3624569668952081,0.5276280175427808,0.3792855117291756,0.4102176935515651,0.30131959207647363,0.42532859209593243,0.36319547736657976,0.4171707667123493,0.3869635745960971,0.43360061444719844,0.3992720518112127,0.5710745163296821
nose,0.20207146081434035,0.36116365750919743,0.4078257510529263,0.3577776743903106,0.3774490654885543,0.3382033569289301,0.3733612639183368,0.32186474619014294,0.4622030509292451,0.504196763286964,0.5303479942430235,0.35792525523416985,0.4227762651699052,0.33258709590715974,0.23400382834519617,0.3813502251180365,0.36644486956102496,0.46242438129121366,0.43588017550297875,0.3126734813991706,0.2817151646547924,0.3288567336980158,0.5112178729788383,0.42242000748913555,0.18254684117854425,0.4283197398161753,0.4293301666647309,1.0,0.36072795854072937,0.2889317979235111,0.42140808245832906,0.3556499032019933,0.33488310453903825,0.30912195963977407,0.4139453301906183,0.41988943841761805,0.4320415571486341,0.4349395251075219,0.3949123580098306,0.3012680568141385,0.37473561822684986
skull,0.4107435121093943,0.3429753515673881,0.4638376551550458,0.33003409233480385,0.40041155474690515,0.5346773564159584,0.5575758201959697,0.3159950134992775,0.4215832554781922,0.40078640095349716,0.5030250857141022,0.35397202924974236,0.42723199030808545,0.3720213765375564,0.281752593861861,0.4225000601779675,0.42995051780194615,0.33318552773381216,0.3110637372573213,0.3752475834847424,0.2723107665043556,0.35223271740297735,0.30670681588594917,0.4023787748655898,0.3120123474140575,0.2458375543576019,0.5295211739071704,0.36072795854072937,1.0,0.2579785976102005,0.3842743714184559,0.3683026758145347,0.29202101354989163,0.2745200267939649,0.4026399027677481,0.30286232822709713,0.3333971763890805,0.3638490340028647,0.414090901822456,0.4329607934227351,0.39768175864121114
spot,0.140180029678045,0.36875212477343955,0.2613562240031275,0.31688687322202913,0.3545094984484991,0.29789246117310064,0.24243130379501765,0.31077952883135773,0.41258078778232377,0.38643615606613224,0.3452070979641211,0.27435791250856756,0.45731716124868116,0.22423403536537423,0.38146888924559397,0.28237415437137714,0.30373955564245847,0.3982586477196204,0.3041062617500532,0.3104150798641696,0.24309958852785474,0.306255477839217,0.2803863512478365,0.20259341905476558,0.2380432529499118,0.3678585694973977,0.3624569668952081,0.2889317979235111,0.2579785976102005,1.0,0.4272413187951991,0.38991972569294453,0.29334525558149704,0.30002856603794714,0.2755451846061209,0.3228895631081028,0.26686208855144256,0.3184361359366813,0.33140208072142685,0.33683584518240184,0.2864295930858295
stomach,0.17992532990841725,0.4595236338581282,0.31212025608333627,0.33366489227922025,0.29326093932415676,0.3812668367737285,0.47308510971908535,0.3510306900931963,0.5516175752811101,0.48016801714626145,0.4243111769192145,0.319552368509074,0.4009495706434769,0.35153106521765565,0.3026796927436668,0.4402654741295039,0.34468613013386773,0.44970858009163583,0.4694531154403916,0.3304785272138887,0.20669175723229904,0.27864825659536585,0.46930939197886534,0.40439861590460446,0.1803824100733109,0.3337647413904119,0.5276280175427808,0.42140808245832906,0.3842743714184559,0.4272413187951991,1.0,0.3333812537102857,0.37736264722405277,0.3008911186680354,0.4207551969557607,0.3640960916879463,0.4578376006133583,0.3827589557711848,0.3954271594774713,0.31205280959211823,0.392446863771965
