Body Parts,antler,arm,beak,beard,black eye,bone,brain,bruise,chest,chin,ear,elbow,eye,feather,fin,finger,fist,foot,hair,hand,hoof,horn,lips,lungs,mane,mustache,neck,nose,skull,spot,stomach,tail,tattoo,tear,thumb,toes,tongue,tooth,trunk,wing,wrist
0.038064346,-0.065804936,0.058739588,0.019069137,-0.04520048,0.0022445016,0.00687657,0.068040155,-0.05163134,0.03366581,0.06598143,-0.06588264,0.047169432,0.015596707,0.05917296,0.074309364,0.066028744,0.049366474,0.06645301,-0.005787991,0.077450424,0.048765082,-0.05049902,0.07332382,0.02784415,0.009827456,0.012018196,0.074206516,-0.02180636,0.05378051,0.053422738,0.06653942,0.07757206,-0.03364423,-0.07442803,-0.033070073,0.040457647,0.036418915,-0.046576362,-0.059548073,0.0626132,0.00033140686
0.0628303,0.07869682,0.06966063,0.011490748,0.04991886,0.024393817,-0.048906144,0.014343281,0.044643562,0.042958,0.007399335,0.054969665,0.06794208,0.036739882,-0.040188823,-0.0382789,0.040101636,0.04443048,-0.01086412,0.029177882,0.040200513,-0.028706696,0.023274781,-0.05796135,-0.04890509,-0.023353277,-0.040097024,0.0820956,-0.07606711,0.059009843,0.022852555,0.06968507,-0.023387622,0.028379656,0.008103744,0.016714256,-0.025230708,0.037695426,0.019990455,0.021091485,-0.03108964,0.021168392
-0.035763636,-0.052956507,0.053414624,0.019000517,0.009080982,-0.010099756,-0.019743802,-0.012393218,-0.04285573,0.049860496,0.008169888,-0.00016551881,-0.029804748,0.011448738,0.018064972,0.029631117,0.052779783,0.061572503,0.06989674,0.015197708,0.06407512,-0.012268599,-0.0029469144,-0.024115296,0.0076372693,-0.0511714,0.009323272,0.0295312,-0.033114243,-0.06760349,0.059796304,0.023613576,-0.008919976,0.030834215,0.058299366,0.048426244,0.04623958,-0.041318797,0.0081912745,-0.049269773,0.021054301,0.03058449
0.08925656,0.036600165,0.08827647,0.051918294,0.025599886,0.042080175,0.077412985,0.064453125,0.054330707,0.067641206,0.08290635,0.057967857,0.08520493,0.027461648,0.048333403,0.05030448,0.08327804,0.07776128,0.09345921,0.01574313,0.0876283,0.04694043,0.06641574,0.051600017,0.06169876,0.023592025,-0.0010698595,0.0828471,0.08120575,0.069018506,0.09868368,0.05259848,0.071953,0.03877955,0.06559686,0.08612997,0.080969,0.0425895,0.00737136,0.08541565,0.084122136,0.080081634
-0.00033215331,0.016831983,-0.024602583,-0.024908029,0.0019983558,-0.016361717,0.030639008,0.028328745,-0.025449105,0.0086919125,0.016673189,0.01969261,-0.032122407,0.061620567,-0.033389274,0.007119502,-0.056489293,-0.033453237,-0.018179594,0.0052996054,-0.032106776,0.08299747,0.055198506,-0.005601017,-0.036607202,0.05254162,0.044416822,0.01743603,0.06485317,-0.032767292,0.06605869,0.04274889,-0.057068344,0.047736593,0.037901383,0.04140357,-0.04089689,0.07034308,0.028989652,-0.039882522,0.0015142007,0.011068774
-0.015574524,-0.052307982,0.040653363,0.028672786,-0.061666604,-0.051573455,-0.059879556,0.0257849,-0.022074213,0.009534327,0.014800513,0.015151624,-0.023553297,0.040421773,0.06696367,0.018802768,-0.037415557,-0.0166332,-0.012593011,0.048958436,0.03012233,-0.061208777,0.00980452,-0.023975225,0.010688252,-0.044213746,-0.015109094,-0.034744486,0.02241161,-0.056869745,0.043466818,-0.011268796,0.011539424,0.07855798,0.015382233,-0.026824873,-0.008846711,0.025444234,-0.0097402185,-0.04611095,-0.0058189863,-0.012901593
-0.023333551,-0.054803714,0.05508443,0.002986178,-0.018519806,-0.0067841136,0.02407182,0.002403981,-0.013367952,-0.033236615,0.06603639,0.008527951,-0.0033280712,0.018108692,0.05156779,-0.029315872,0.022714665,0.023606827,0.0010452948,-0.0037999647,0.032701064,-0.044638567,-0.024986798,0.0014807982,-0.0021016418,-0.056075413,0.006472157,-0.02052449,0.049105838,-0.008271376,0.0048997137,0.06713723,0.054541025,-0.051286146,-0.043140505,-0.010420397,-0.0030362222,0.0010185327,-0.004927684,0.05202292,0.07354392,-0.025184166
0.010174293,0.007854119,0.05786691,0.0161791,0.021108577,0.031885322,-0.0031924204,0.019287528,0.013525848,0.05702105,-0.004556103,0.03344236,-0.0013607007,0.012846033,-0.03252715,0.014032211,-0.014284871,0.021479584,0.0073640076,0.021562262,0.0355045,0.007013027,0.013730169,0.044946406,0.019168008,0.02594824,0.032941688,0.05050707,0.01338301,0.023271265,-0.010275884,0.069602326,0.0035386472,-0.044507578,-0.023378257,0.04352403,-0.015895933,0.0109040495,-0.02133214,0.011020801,-0.010746293,0.065565795
-0.036956463,-0.013900137,0.015957644,0.002635833,0.05732398,-0.032942384,0.05429972,0.023009285,-0.075303495,-0.024487402,-0.014314884,0.027592747,0.016102146,-0.033537243,0.0017821473,-0.023764694,-0.007784444,-0.013784386,0.013360451,-0.022129549,-0.021174138,0.0034516098,-0.02937355,-0.06441181,-0.021820607,0.02646203,-0.008706882,-0.001158882,-0.041171193,0.06321338,-0.012910154,-0.00026853156,0.015832167,-0.060525957,-0.081375524,-0.013340397,0.0019627758,-0.0225711,0.0015305715,-0.050839573,-0.005929996,0.008438888
-0.07927032,-0.07598144,-0.06953961,-0.07452704,-0.056831054,-0.06561329,-0.05046086,-0.07321013,-0.028315777,-0.057314277,-0.04030314,-0.06040172,-0.005135532,-0.056880336,-0.013598311,-0.07662676,-0.067695685,-0.041758094,-0.049839303,-0.054053683,-0.08974315,-0.05352786,-0.0723677,-0.06788475,-0.06080742,-0.06861593,-0.068181336,-0.055037208,-0.022839362,-0.051414184,-0.021965018,-0.01751644,-0.063668855,-0.02564795,-0.061737794,-0.04020317,-0.056127626,-0.05589577,-0.058415867,-0.056631207,-0.07026344,-0.060273856
