Fruits & Vegetables,apple,asparagus,avocado,banana,blueberry,broccoli,carrot,cauliflower,celery,cherries,coconut,corn,cucumber,eggplant,garlic,ginger,grapes,kiwi,lemon,lime,onion,orange,pear,peas,pineapple,plum,potato,pumpkin,raspberry,strawberry,tomato,watermelon
-0.046578217,-0.048479676,-0.048666567,-0.052572954,0.024458958,-0.0071936348,-0.0013673477,0.015514057,0.013094676,-0.037016608,0.028298657,-0.0072254078,0.016020922,-0.027184397,0.045026843,0.053451557,0.056300778,-0.02435086,-0.04749786,-0.042066474,-0.015476755,0.020070279,-0.013843335,0.007033401,0.013420431,-0.034482967,-0.004353812,0.0073944135,0.071339086,-0.030491976,-0.027957438,-0.022021076,-0.05663117
-0.056420766,-0.055987842,-0.052452326,0.040896796,-0.020947909,0.078139216,-0.06448632,0.0064581917,0.05170052,-0.015762925,-0.031986065,-0.011588689,0.0557527,-0.01102376,-0.06838084,-0.05306071,-0.006630707,0.062936336,0.07251407,-0.07169378,-0.04691276,0.01489711,-0.072168,-0.04275225,-0.02690374,0.013072331,0.012477614,0.054416317,0.023866106,-0.031024996,0.023898076,0.00013900155,-0.0133221885
0.0318718,-0.07318961,0.032574974,-0.06202461,-0.040778223,-0.017144537,0.006717376,0.06684377,0.050757024,0.057714447,0.0134421345,-0.06454304,0.047825318,0.040824898,0.055819023,0.05848072,-0.016441505,-0.04563394,0.032866407,-0.07048903,-0.001923989,0.010776457,0.037279937,-0.056965593,-0.00031882466,-0.0016527732,-0.04976676,-0.029517818,-0.013509008,0.017279547,-0.03303013,0.03371657,-0.015886314
-0.046589293,-0.01257856,-0.06435867,-0.07249473,-0.05647016,0.041679557,-0.047482565,-0.026894122,0.0018380339,-0.06076285,-0.0014130757,-0.023452502,0.0070814528,-0.076968364,-0.028045116,-0.03282396,-0.016955232,-0.020107033,0.009120406,-0.056964897,-0.024186442,-0.0072393822,-0.03865475,0.025053099,-0.024577908,-0.0028211703,-0.0072294027,-0.03895695,-0.043419696,-0.036619272,0.03970227,-0.048614122,-0.002528025
-0.08325844,-0.0890022,-0.076669104,-0.07734194,-0.07733391,-0.085027695,-0.07974483,-0.08230275,-0.07842623,-0.0795883,-0.07951824,-0.07466467,-0.081437595,-0.08136029,-0.07138193,-0.075250365,-0.05878171,-0.08216213,-0.056203965,-0.083502404,-0.085629456,-0.075685665,-0.07851688,-0.08434788,-0.082884096,-0.07344189,-0.08536565,-0.08496734,-0.079353325,-0.08779656,-0.08647496,-0.08293315,-0.07848561
-0.0014266458,0.036083847,0.048816968,0.04842185,-0.026673075,0.028093612,0.011171219,-0.03800856,0.0066960105,0.03342383,0.059589706,0.0058596977,-0.02007013,0.03831855,0.010797099,0.05029021,-0.0295323,0.008247059,0.0024705064,0.027407965,0.06939259,0.01488079,0.0098250955,0.025121441,0.021146102,-0.028679293,0.04814303,-0.04671977,0.0022363875,0.061459266,0.026252687,0.037951462,-0.024724336
-0.042621844,-0.030990014,-0.0132030295,0.025965946,0.048214994,0.058260635,-0.04267534,-0.039523084,-0.044177264,-0.04320691,0.028641175,0.03624703,-0.03960379,-0.0024139949,0.007823386,0.010100309,0.024354747,-0.032551236,-0.009957448,0.04530621,0.027857497,-0.015536528,-0.017401012,-0.04359519,-0.07850635,0.031657133,-0.019748162,-0.0325118,0.0026152364,0.04763377,-0.0046156617,0.044270292,-0.023878787
0.021795485,-0.032881927,0.070045106,0.009425986,-0.07159279,0.026736254,0.008375621,0.020090368,0.025696455,0.025223885,0.007330615,0.058948528,-0.015385151,0.03420451,0.05437833,-0.062206212,-0.06462966,-0.03647904,-0.047517117,-0.036539674,0.06916475,-0.06664072,-0.031110246,-0.03988331,0.050286777,0.05678381,0.03681015,0.037619397,-0.06290591,0.07542488,0.028496126,0.03024484,-0.0044410373
-0.04179408,0.02245502,-0.06643233,-0.007014499,0.041232515,0.062330008,0.018711694,0.021961419,-0.07477027,-0.03966041,0.041381985,-0.05023841,-0.056588035,-0.025960134,-0.004232629,-0.056922454,-0.0038783595,0.026607988,0.008807255,0.011297368,-0.0130542,-0.01957924,-0.0037520782,-0.02526005,-0.06486612,-0.057008285,0.05001714,0.026801875,-0.054795858,0.05472868,-0.0010795597,0.062467687,-0.054946613
-0.054414853,-0.07364369,-0.051459033,0.0013936895,-0.029478427,-0.07237487,-0.06145291,-0.036783885,-0.05324368,-0.04153485,-0.05728827,-0.014395347,-0.08190802,-0.03224075,-0.07244211,-0.048011083,-0.023667263,-0.07363155,-0.06851308,-0.054553013,-0.030655064,-0.06722299,-0.04965305,-0.016998349,-0.06966768,-0.031569522,-0.0689908,-0.07502856,-0.015884703,-0.0064234748,-0.080884986,-0.08078196,-0.059069414
