Mythical & Mystical,alien,angel,arrow,bow,crown,dinosaur,dragon,fairy,genie,ghost,halo,hook,king,knight,map,mermaid,monster,mummy,pirate,queen,skeleton,snowman,sword,treasure chest,unicorn,witch,wizard
0.0268086,-0.019754015,-0.04665626,-0.059880566,0.037432533,0.015793545,0.0005491792,-0.037965596,0.02345245,0.040904827,0.050423604,-0.064238995,0.015714834,-0.0056313043,-0.023807624,0.032146633,0.037882406,-0.02083688,-0.026688002,0.048521165,0.046526533,-0.052225817,-0.042858846,-0.026798556,-0.015267941,0.05905385,-0.04246831,-0.016065838
-0.030504307,-0.0477925,-0.074100465,-0.0026911944,-0.0050082766,0.013112356,-0.075242154,-0.07833104,-0.03975147,0.07559439,-0.07978225,-0.052603718,0.029396944,-0.07484535,-0.021560887,-0.009795292,-0.043342125,-0.014076382,0.0025778501,0.030480668,-0.044019282,-0.024405852,-0.06416139,-0.08275113,0.012237305,-0.0681881,-0.027515538,0.029818142
-0.058914438,-0.0034854284,0.027180776,0.07044166,0.003834818,-0.026086584,-0.0055439738,-0.014627621,-0.04069192,-0.042809848,-0.042145826,-0.048474655,-0.0665662,0.013331925,-0.01898502,-0.015987467,-0.031235462,0.020442283,-0.041097563,-0.025981935,0.031060966,0.020756017,-0.07432771,-0.06714538,-0.024791103,-0.077238455,0.03289312,0.0135896895
0.05170621,-0.029811712,0.0704818,0.056031313,0.005180204,-0.0028937878,-0.069358125,-0.003003875,0.079880565,0.032931257,-0.047172215,-0.028979087,0.07013312,0.023516268,0.085215,0.059466075,0.0067136814,0.078522585,0.065437734,0.044063456,-0.0010770989,0.0056807254,0.07638905,0.055953447,0.06781876,0.07698698,0.08277451,0.09180612
-0.008007528,-0.052440938,-0.078358315,-0.04809066,-0.03661478,-0.024552424,0.028829347,-0.0073291603,-0.045699462,0.046796147,-0.016702732,-0.0044528586,0.07995539,0.08431221,-0.019158777,-0.07855242,0.04402371,0.04340887,0.078304276,-0.014647789,0.05991654,-0.03773271,0.042205065,0.06176802,-0.017873505,-0.027087238,0.0505454,0.030725673
0.041609596,0.033857416,-0.03284664,-0.057643555,0.047474656,0.05723196,0.06728094,0.018273545,0.0046466864,0.041860834,0.0018946211,0.06274301,0.01124578,-0.03225769,-0.06632069,0.048866533,-0.07116101,0.07285665,0.056287613,-0.039309148,0.023489587,-0.0148185855,0.04694533,0.07732122,0.04287918,0.061500765,0.068610474,0.062099416
-0.08071664,-0.05248198,0.009868038,0.049697068,0.0316365,0.04830197,-0.067076124,-0.03249745,-0.020680334,-0.04740662,0.04579776,-0.009793532,0.043535527,0.07018873,0.05966277,0.05925511,-0.06706582,-0.005324921,0.014173463,0.04212725,0.06549758,-0.04413163,-0.0043772054,0.029831711,-0.0051363674,-0.03351968,0.0007225692,-0.045706
0.0009272065,0.022845022,0.00865652,0.07955411,0.04220093,0.026280113,-0.026006678,0.009627836,-0.03908802,0.014176102,-0.0039713774,0.009939708,0.07757318,0.07376667,-0.013497893,0.08205789,0.005576012,0.04861598,0.060778238,-0.018193733,0.047144108,0.07205047,0.0032255666,0.014966334,0.07678766,0.022004819,0.01292433,0.0071021053
0.05149781,0.079936355,0.0762482,0.0022464811,0.030991489,0.04379715,0.04306828,0.06663898,0.07319316,-0.0056047067,-0.018212134,0.053521663,-0.019478824,0.016830234,-0.024017133,0.05008403,0.06758391,0.039374825,-0.009896723,-0.049526732,0.04745379,-0.039462376,-0.0637442,-0.029131664,-0.027326932,0.06909481,0.06354446,0.045109067
-0.050516717,-0.02208649,-0.074378,-0.027318489,-0.08193668,-0.053038653,0.012050704,0.020476824,-0.0016847919,0.044609275,0.035113942,0.012071641,0.04423126,-0.0021974142,0.05048426,0.058256656,-0.029226257,-0.011995058,-0.074438274,-0.06417816,0.036126453,-0.06325149,-0.0684824,0.008476058,-0.04557133,0.06168847,-0.038251355,0.057849597
0.034876183,0.033091765,0.019235665,-0.05915649,-0.04016379,0.01628887,0.017479578,0.05357704,0.053274762,0.016579336,-0.05187704,0.025799291,0.021477569,0.035136286,0.030868234,-0.063552186,0.059080932,0.049098354,0.09204818,0.029532751,0.031724617,-0.001295775,-0.026586328,-0.005023132,-0.0018539565,0.024444632,-0.026463883,-0.005539696
-0.003972734,-0.058028396,0.016831143,0.01101709,0.03343325,-0.049948502,-0.07360565,-0.013328993,-0.03546081,-0.07070633,-0.068278976,-8.2080296e-05,0.058238383,-0.025569782,-0.05180274,0.015855763,-0.07249658,0.04842913,-0.03291357,-0.058226623,-0.053414844,-0.027877968,0.03382436,0.006031844,-0.04872346,-0.061056275,0.031530652,0.036412247
0.005035826,-0.048669178,0.0051683215,0.07231081,0.037091445,0.026909081,0.04779578,-0.038947355,-0.016129589,0.043644395,-0.004731121,-0.057841707,-0.043794163,0.0027091012,-0.024597691,-0.060983893,0.048137434,-0.068130024,-0.016240563,0.06698884,0.0055558127,0.02045685,-0.045343574,-0.013827257,-0.042592183,-0.069720276,-0.015133456,0.007701715
-0.040565096,-0.026901362,0.00066393416,0.0041373754,-0.04472635,-0.022607705,-0.027107185,-0.048483174,-0.004808397,-0.064744495,-0.044171624,-0.0071946015,-0.08177631,-0.05491433,-0.011612749,-0.04874027,-0.029905193,-0.08277766,-0.008394751,-0.047449633,-0.033360075,-0.058111966,-0.045317106,-0.062019315,-0.07601136,-0.036755174,-0.034983773,-0.048726697
-0.051826127,-0.028388703,-0.06897499,-0.059929818,-0.063871585,-0.007876747,-0.08440679,-0.07751491,-0.06015769,-0.018417127,-0.06566156,-0.014523265,-0.02362474,-0.030281559,-0.059456598,-0.053098623,-0.08085604,-0.03305085,-0.0018506238,0.0012395509,-0.022475066,0.004061356,-0.07654398,-0.04150364,-0.007155772,-0.0773432,-0.0056834267,0.0077614896
-0.0731204,0.070479505,0.06822342,0.004763887,0.07040241,0.08123472,0.0036037539,0.050845508,0.052096646,-0.032733433,0.023223378,0.0775534,-0.019474376,0.07435671,0.04949561,-0.06805383,-0.060623597,0.021411737,-0.05148047,-0.009098056,0.027903406,0.06040092,0.017661314,0.043695107,-0.059128903,0.0074001555,0.008067392,0.047962315
-0.03860391,-0.05674262,-0.027623188,-0.059564356,-0.02886969,-0.018785752,0.0057437164,-0.04052635,-0.059930995,-0.043448362,-0.018775614,-0.03308346,-0.039108757,-0.06862698,0.0020104528,-0.03158062,-0.045919184,-0.051451243,-0.051980514,-0.041879337,-0.053361226,-0.04091107,-0.025156973,-0.012883334,-0.03404766,-0.05102705,-0.070463985,0.00786198
0.07647113,-0.080469176,0.033765156,-0.04206308,-0.07655599,-0.035736628,-0.017716002,0.024801208,0.07067652,0.063526444,-0.021720678,0.04791016,0.053831335,-0.03919889,0.030225195,-0.0112940855,0.077288665,-0.03189183,-0.036611833,0.032650072,-0.021455457,-0.08416483,-0.035849743,0.05232606,-0.04838857,0.017268186,0.057598494,0.011024819
0.06517853,-0.026609525,0.023161376,0.048398312,-0.008077966,-0.024250554,-0.07911361,0.051558685,0.07455941,0.07546986,0.030061271,-0.041121956,0.061796304,0.0058698654,0.03602764,-0.0001225404,0.063117325,-0.028992707,-0.068699256,-0.0406187,0.05401361,-0.0683991,-0.01642486,-0.062268503,0.019635152,0.048266508,-0.040080372,0.055765875
