Food,bacon,bagel,biscuits,bread,breakfast,butter,cake,candy,champagne,cheese,chocolate,cookies,cotton candy,crackers,croissant,cupcake,dough,egg,egg rolls,honey,hotdog,ketchup,mustard,pancakes,peanuts,pickles,pie,pizza,popcorn,pretzel,rice,salad,sandwich,shrimp,soup,spaghetti,steak,sugar,sushi,syrup,teabag,waffles,wine
0.05440054,0.04127286,-0.061483994,-0.003056061,0.0076317075,0.016378103,-0.04181,0.014466699,0.014978344,-0.057351217,0.010169417,-0.0028104626,0.009043648,0.053222,-0.014062417,-0.02969799,-0.013695961,-0.042366296,0.049299404,0.03432526,0.012591971,-0.002137216,-0.012857188,-0.01724071,0.013635669,0.029859556,0.013131794,-0.015054932,-0.042092673,-0.01847397,0.017459352,-0.06376405,-0.022420058,-0.01405076,0.0566303,0.0001658383,-0.022236321,0.027950773,0.0067256303,0.03889439,0.022751518,0.031795748,0.026387213,-0.0345748
-0.010095433,0.020337343,0.041639987,-0.043013237,-0.025114974,-0.06286783,0.0005510169,-0.043891467,-0.03355254,-0.011889925,0.01600205,-0.06256425,-0.062235788,0.06635696,-0.05257575,0.078713104,0.03789336,0.008380783,-0.065613195,-0.0684695,-0.024196003,0.020095872,-0.015802752,0.037301738,0.0025375297,-0.049060054,0.0093032885,-0.007501482,-0.070378415,0.013544027,-0.017259767,-0.009999902,-0.062644176,-0.035508424,-0.0164232,-0.038586408,-0.06690842,-0.060373913,0.03407117,-0.010148407,-0.008785628,-0.00039406383,0.017747639,-0.023515044
-0.0065155937,0.018246654,0.021084635,-0.041346144,-0.0062986207,-0.044544976,0.026631309,-0.006243283,-0.02181217,-0.01261156,-0.07337726,-0.001798678,-0.0575011,0.031440597,-0.04697272,-0.028928235,0.016476631,0.05922207,-0.018396812,-0.026418122,0.035854604,0.028933873,0.020063719,-0.009461136,-0.058896787,-0.048512053,0.016847076,-0.04707946,0.031140463,0.053590976,0.05034024,-0.07729218,-0.06771091,-0.04669743,-0.001984958,0.016558701,0.039829638,-0.013076822,0.012765496,-0.023080872,-0.065982416,-0.033917114,-0.021470334,-0.029511712
-0.014878825,-0.061795797,-0.046050288,-0.0023588876,-0.050451376,-0.012302036,-0.055001277,-0.038218014,-0.05788575,-0.029777044,-0.06882147,-0.06782711,-0.02403066,0.02787475,-0.049813204,-0.040976573,-0.06099491,-0.046641234,-0.01965612,-0.067328036,0.07936711,-0.07832505,-0.05893568,-0.046777923,0.03129081,-0.04327011,-0.023249717,-0.03613164,-0.05613679,-0.052118383,-0.018775553,-0.05535827,-0.02244385,-0.035144266,-0.036618944,-0.06142691,-0.058175523,-0.057234176,-0.03551288,-0.06664675,-0.019345293,-0.052170012,-0.020415233,0.009783673
-0.09793619,-0.078230456,-0.0789685,-0.07923686,-0.079178706,-0.08877495,-0.08373,-0.08276354,-0.083447225,-0.0831939,-0.08486761,-0.08689451,-0.08224502,-0.058073174,-0.08161037,-0.0824304,-0.08071803,-0.080301866,-0.028011119,-0.06610422,-0.0865791,-0.08603343,-0.07379595,-0.079129346,-0.07718886,-0.08139375,-0.0780051,-0.08855274,-0.08157347,-0.07693083,-0.081244215,-0.08133506,-0.08483665,-0.087670736,-0.07702704,-0.085019864,-0.075342506,-0.080553815,-0.08867196,-0.077111386,-0.08425015,-0.07128732,-0.07785149,-0.08409111
-0.06878864,-0.016223572,-0.030039202,0.00668245,0.009362147,-0.0579757,0.018320847,-0.047191948,-0.06776324,-0.006284865,-0.017710501,-0.003314558,0.012848685,-0.0149236685,-0.027322203,0.011806727,-0.056327853,-0.04639263,-0.038629778,-0.02160689,-0.010431784,-0.0010534386,-0.014032318,0.007296311,-0.0397603,-0.022009935,-0.023275452,-0.0525618,-0.02731477,-0.019608881,-0.031320453,0.021671005,-0.011698011,-0.02902515,0.012710317,-0.016794724,-0.039792053,-0.014304601,-0.021579867,0.007091039,0.011301209,-0.052860122,-0.03790126,0.02988156
-0.010809841,0.037134532,0.01633247,-0.01227699,-0.034326095,-0.032176316,-0.009896494,-0.0070449933,-0.07857442,-0.014924907,0.04178509,0.009602523,-0.016590588,0.006006972,0.016611742,0.028260326,0.025483442,-0.00064778805,-0.0341352,0.058994148,-0.050782736,0.055965297,-0.007020146,0.037666358,0.024426391,-0.036049917,0.030348852,0.05100727,0.02582059,0.032590237,0.020737221,0.0034485972,-0.0008386766,0.04557346,0.04199985,-0.021186383,-0.032395106,-0.008214834,-0.06887488,0.04871726,-0.018647863,0.05268694,0.05387341,-0.046308275
0.04909562,0.027329883,0.024143202,0.0017583079,0.04031186,0.0433709,0.051340576,0.066055074,0.014855926,0.080592096,0.06552473,0.0668325,-0.0022785498,0.054606255,-0.035991378,-0.0021171065,-0.009605404,0.031182418,0.051826786,0.052242108,0.028543282,-0.014891616,-0.052350976,-0.04340544,0.039917473,-0.0074272067,0.0015624439,0.06959985,0.07278652,0.02685925,0.044358473,-0.057957504,0.0201062,0.052334554,-0.0013466284,0.05737636,0.035456326,0.06817715,0.008263286,-0.0022025837,-0.004489562,0.029795991,0.056663837,0.044720516
0.0007374427,0.060269393,0.057168383,0.03204172,0.030296035,0.042244777,0.047616825,-0.003773674,-0.029345054,0.037808422,0.028052837,0.038251188,0.00249696,-0.050742477,-0.020240448,0.017414978,-0.02666411,0.057477273,-0.059162986,-0.056471165,0.0072697555,0.010513074,0.044279084,0.0025746108,0.022022288,-0.062369037,-0.05000129,0.04506585,0.021127576,0.026616808,-0.0016630524,-0.0044387947,-0.06404202,-0.014231718,-0.07272896,-0.0148151675,-0.058980912,0.0117321955,-0.043600086,0.055212054,0.052653473,-0.050812244,0.048316944,-0.0053755995
0.005494147,-0.037664145,-0.06783887,-0.024371643,-0.061260983,-0.05172473,-0.080212444,-0.05812817,-0.06461748,0.0068009645,-0.025530063,-0.060956415,-0.06297694,-0.06728996,-0.017815385,-0.055407714,-0.06319918,-0.022208342,-0.047039405,0.01788074,-0.054006863,-0.038625345,-0.07136253,-0.04104425,-0.06491182,-0.05240624,-0.019440038,-0.06313901,-0.031607565,-0.07086981,-0.053217486,-0.06706878,-0.05694154,-0.059921697,0.018759314,-0.057383396,-0.070848264,0.01563645,-0.050160095,0.03542586,-0.05670337,-0.051816367,-0.059142258,0.024135858
0.051742136,0.029336823,0.011151416,0.0072932155,0.03317855,0.021823607,0.045240127,-0.0029768283,-0.01030686,0.04705125,-0.0063636396,0.00026820326,-0.019177675,0.058636002,-0.04702857,-0.023330577,0.03355873,0.04397412,-0.016354328,0.026056249,0.058218285,-0.002901021,-0.0017361796,0.03478865,0.05154825,0.011685611,0.05117717,-0.006725968,0.034718707,-0.011528674,0.030349523,-0.0033051774,0.04169489,-0.042943753,0.011291006,-0.0010574388,0.004939947,-0.030144496,0.009834919,0.018139908,0.03773742,-0.022010839,0.0694585,0.010569397
0.02629902,0.07397928,0.07170036,0.059781756,0.06767813,0.07854429,0.025178153,0.07826499,-0.04980754,-0.023258995,0.057451397,0.044969488,0.033861555,-0.024022471,-0.0019138084,0.07095904,0.07105994,0.06693258,0.07142295,0.06362851,0.036771767,0.027954133,0.017892063,0.04073272,0.07530976,0.041080046,0.07615366,0.04844145,0.076775275,-0.05181353,0.04825285,0.075372934,0.021176936,0.033476852,0.046905287,0.0734319,0.0644539,0.03429973,-0.024916694,0.042548053,0.034878403,0.054845937,0.06821295,-0.043819923
0.008947542,0.019891689,-0.051172934,-0.017442329,0.024644932,-0.021264149,0.010784718,0.03566775,-0.0008819233,0.06597239,-0.033147458,0.06138584,0.012652041,-0.016933665,-0.059291776,0.014735027,-0.022386944,0.021448717,0.023883518,0.0051479195,0.03602303,-0.047808606,0.058012623,0.017621055,-0.0010797619,-0.019878414,0.02212626,0.00046030583,-0.053751636,-0.07055201,-0.049721107,0.0095952535,-0.017362535,-0.048693277,0.0003635776,-0.06349739,-0.04654345,0.059484653,0.06732366,-0.005208359,0.008035648,-0.022590298,-0.041337922,0.0025828786
