Tools & Hardware,axe,battery,brick,broom,bucket,chain,dustpan,flashlight,flyswatter,funnel,hammer,hinge,hose,iron,ironing board,jack,key,ladder,lawn mower,light switch,lightbulb,lighter,magnet,match,mop,mousetrap,nail,paintbrush,plug,rake,rope,saw,screw,screwdriver,shovel,springs,thermometer,vacuum,wrench
-0.07882003,0.018191002,-0.07239879,-0.06979968,-0.068387784,-0.05758246,-0.019864738,-0.034978997,0.012472903,-0.03112877,0.03848649,-0.026614087,-0.037826594,-0.056122832,-0.043879066,0.057281043,-0.009832509,-0.06929951,-0.00867083,-0.041521825,-0.036682323,0.004013649,-0.0650235,-0.028646294,0.03411241,-0.005522159,-0.012635377,-0.031663906,-0.013725705,-0.029030662,-0.020462712,-0.07063531,0.050442696,-0.026323624,0.009255646,-0.058252558,-0.06392414,0.033748023,-0.06043875,-0.06422144
-0.05194989,0.050588146,-0.06247426,0.032043092,0.08538912,0.072215505,0.07981138,0.1024142,-0.06009868,0.07805808,0.07666006,0.04147537,0.004048197,0.06441855,-0.017730925,-0.04708202,0.054347496,0.024356764,0.045996554,0.06679213,0.0058253654,0.051851396,0.011844495,0.005003017,-0.020018822,0.086339265,-0.035326432,0.08320733,0.061934154,0.08728037,0.06973721,0.075835675,0.046165705,0.06775918,0.042045373,0.07209628,-0.041899722,0.0382345,0.051150907,0.054305226
-0.054275308,0.021131713,0.017458092,-0.023710418,0.07569064,0.060914177,0.05253489,-0.030610194,-0.009271963,0.00092821283,-0.02748264,-0.0023597484,-0.054090105,0.073613435,-0.0026948294,-0.056254636,-0.07350241,0.04144227,-0.021342108,0.05743142,-0.050637618,-0.02030619,-0.029609839,0.006984841,-0.022481453,0.042354777,-0.026336167,0.0011078342,0.06627425,0.024154715,0.03743097,0.014477121,-0.053338557,-0.013977578,-0.051976975,0.051536955,0.047655746,0.007879401,0.04326995,-0.010867717
-0.021215713,0.07405748,-0.008057308,0.030084416,0.049589746,-0.04430105,0.07590278,0.03287466,0.01937988,0.020333134,0.05909786,0.0114860535,0.007876233,0.00027433646,0.0065688156,-0.046534177,0.014982158,-0.06771534,-0.02103681,0.07027047,-0.06146224,0.01288768,0.05669764,0.057226863,0.031281408,0.000935212,-0.0034450383,0.061024975,-0.06599636,-0.05675871,0.013375491,0.06528699,0.055447623,0.02425809,0.07383566,0.06461165,-0.071086876,0.03513704,-0.027392942,0.017259171
0.059860125,0.051485706,0.030045861,0.056130167,0.044636898,0.06145059,0.03199024,0.031851258,0.04459969,0.078420274,-0.008040842,0.020705385,-0.011236671,0.06177097,0.034359682,0.06925386,0.04770129,0.040201075,0.045166183,0.06214984,0.035619017,0.028530374,0.022662256,-0.05553593,0.04948287,0.062485322,0.04237131,-0.0034146137,-0.003789519,0.014394845,0.07197788,0.0722531,0.059862707,0.061823666,0.039726462,0.03325585,-0.024437824,-0.04926544,0.06809966,0.040241517
-0.05737658,0.047045063,-0.06684081,-0.0077815964,0.051467672,0.08225249,0.05380314,0.053786144,-0.020310052,0.049339674,0.08515448,0.02694606,0.078943215,-0.03610555,-0.048730187,-0.004838363,0.035711274,0.07963151,0.07683015,0.021666018,-0.017887613,-0.035761487,0.013127486,0.056458093,-0.040989652,-0.035278857,0.04769542,0.06297749,-0.054000292,0.014062384,0.035654686,0.07576112,0.0717092,0.039523244,-0.053731818,0.06807233,0.04200791,-0.009180224,0.064579606,0.06993433
0.024796814,0.0075302394,0.025486715,-0.03337647,-0.012899568,-0.008243689,0.0074189208,-0.010209862,-0.01993485,0.062635966,0.015719894,-0.016071962,-0.031347796,0.04194065,0.03227791,0.05264437,0.04626711,-0.018192954,0.05136157,-0.0062430734,-0.028127369,-0.05004628,0.033912763,-0.006343064,0.0056788516,-0.026585175,0.04176931,0.026049757,0.039327815,0.055252947,0.0647847,0.022826301,0.0072241398,0.07133037,-0.011297382,-0.016216336,0.052328054,-0.009101502,-0.025083346,-0.04588732
0.018317588,-0.05767111,0.04787025,0.070241585,0.037255805,0.04738248,-0.02833785,0.057329,-0.03827759,0.07641527,-0.00538554,0.05103566,0.037105262,0.043294188,0.037491262,0.049639303,0.0718197,0.02812754,-0.02463283,-0.03634856,0.07457092,-0.0067283437,0.06258052,0.07125385,-0.0039576315,0.002770969,0.0071615847,0.030725854,0.047838606,0.04753745,0.0007001937,0.00491508,-0.019395595,0.0009439896,0.037107747,-0.011230398,-0.011781195,-0.03169664,0.054885115,-0.019302756
-0.03727137,-0.034511503,0.045716133,0.06943565,0.016996527,0.019332869,0.025994774,0.036263235,0.03642347,-0.020263461,0.0387795,-0.0048553157,-0.028861668,0.028590644,-0.03742022,-0.07079877,-0.030146401,-0.0255406,-0.049529668,0.0019991624,0.05116882,0.05594753,-0.03861609,-0.010679801,-0.02444224,-0.04144273,-0.0330277,0.031020658,0.043061882,-0.018466402,-0.047550708,-0.041532278,-0.052315306,0.004819758,-0.012346136,0.024278551,-0.015314569,0.053550873,0.070283085,-0.029716313
-0.06042509,0.07266716,0.05359503,-0.018976549,0.037531514,0.018165097,0.042555977,0.0032246013,0.05683356,0.007893731,0.047892053,-0.0014823955,-0.055104893,0.01964032,0.026219366,0.029687522,0.057159074,-0.005498405,0.028194357,-0.037204433,0.024911707,0.047557786,0.0585639,0.032622173,0.024575146,-0.00047358318,0.030908778,0.035409197,0.035700105,0.03353928,0.00013118579,0.07546105,0.0348857,0.0042829635,-0.046557117,0.052264012,-0.006623269,0.05679996,0.037598304,-0.026633294
