,ball,balloon,baseball,basketball,beads,binoculars,bubble,camera,checkers,compass,dart,dice,doll,dominoes,football,golfball,hopscotch,jumprope,kite,magnifyingglass,marbles,medal,microphone,needle,net,record,robot,sandcastle,sewingmachine,skateboard,skis,sled,slide,slingshot,sparkler,swing,target,telescope,tennisball,thimble,tictactoe,top,trophy,whistle,yarn,yoyo
dart,0.3532984930321561,0.37180159688702163,0.22155561340868735,0.2982076065986581,0.33671439326284414,0.24702065936862205,0.3233435380339317,0.2959078608746545,0.3717083218018724,0.2192376793563212,1.0,0.4163429952694866,0.27119704608052975,0.30109548525545515,0.2809502068681937,0.41661576457735316,0.3785128909743658,0.3320314803774054,0.3678266206042088,0.24431467273889795,0.28812343214185054,0.31292866475551284,0.2497116996797012,0.3277040828549763,0.3435661473496707,0.13190534453736458,0.3073931483314458,0.2090877133130209,0.29275138568304593,0.23984311012613202,0.25742721160034865,0.32216579465130524,0.3770752867841869,0.3903499075511503,0.252139055464385,0.3235009918660381,0.30949767890927504,0.24519598337044868,0.2356403856754432,0.3261994005016853,0.4708290896300028,0.25351185262840614,0.2127709612080415,0.3413091786236324,0.3047202516844665,0.3999423509555431
dice,0.32765464183173587,0.2857420371380919,0.2774854828792044,0.24786353077311385,0.1867855015213863,0.23692738434844451,0.3500133564267227,0.3113218916934758,0.3412208840032125,0.19191221338079312,0.4163429952694866,1.0,0.3301504117999732,0.47684947806876676,0.30325216452163195,0.30669455309615845,0.367261858607279,0.20108576980550585,0.17608892583692337,0.2545266166993301,0.31768964397781796,0.2048839482539362,0.23587723507735003,0.22843841657161956,0.24637652847070024,0.17048587176800922,0.2583579143728236,0.24341157755205622,0.2751872882485604,0.3227369002318782,0.26157354882763684,0.20358576001961493,0.2772339778630434,0.18150994934326614,0.3480200891841514,0.3597372831100226,0.21939166834011392,0.19040132990713066,0.24879276631624025,0.3887540451674306,0.4356839060302221,0.20260685930927913,0.1859662509976716,0.2088499097246037,0.21059927965735747,0.28302384744461895
doll,0.3809994649264876,0.36611340481783605,0.2851340228622219,0.29840066481676786,0.28551572546846105,0.15848319655604315,0.2338764777119655,0.3870535748916293,0.22380943121102703,0.17617228383587602,0.27119704608052975,0.3301504117999732,1.0,0.23932536895031686,0.30205593430184285,0.3542096734980573,0.35090999875389706,0.2940828061275096,0.23692338458734774,0.17910224855615375,0.2667289681284839,0.21221655214927215,0.33779818837401665,0.36642984676723,0.23111752164260135,0.25325651523825454,0.4603369240681565,0.18225529763729098,0.41118118457064323,0.33434640308478714,0.17681049359584522,0.2590533355861382,0.32563937618929883,0.23073885147442386,0.428542654654527,0.4108609448983329,0.23522959940984733,0.19503815174036299,0.21159440782752825,0.46192358294439684,0.35666227864334,0.26481303774274,0.2749986427699269,0.26209363205060043,0.4024648006784839,0.4174816874734577
dominoes,0.315556041905646,0.30118667588727366,0.35659850658232317,0.2830093173110302,0.17699231286860972,0.28323926370537134,0.38452753594119216,0.2933438456399531,0.5372120148532258,0.17478217930992557,0.30109548525545515,0.47684947806876676,0.23932536895031686,0.9999999999999998,0.33147816514714346,0.271772724661252,0.38522648101995727,0.3012909003341401,0.278043854987448,0.1461353317224222,0.31414318964050636,0.12393178888726897,0.3003980034357019,0.1319976680875118,0.31140500096351253,0.12149887011523408,0.2662408670704104,0.3149329284558505,0.24828952909270907,0.3751052853167878,0.3115834992150649,0.2843584297272348,0.3023054121555231,0.18724041674390068,0.25764215003631286,0.37397346188616676,0.30129086615378187,0.20052546624739598,0.2585924171302709,0.40434248479399826,0.49864577521955555,0.24081276668248663,0.21454952399258254,0.20317707543805952,0.294178462743234,0.293427547165399
football,0.4930936556994493,0.3474282251618832,0.7002306692562302,0.6802139947416649,0.2016892452044461,0.2751074362421493,0.2727605646843455,0.36701423559814983,0.270381689323382,0.20045398367423528,0.2809502068681937,0.30325216452163195,0.30205593430184285,0.33147816514714346,1.0,0.4047645449423881,0.30601190418445,0.39381570679223454,0.25473584041567143,0.1919569196661015,0.2466508863210859,0.24287863492117756,0.2077194142823343,0.21807764179352773,0.26692252216264367,0.23220093858756718,0.3077092570169637,0.21936278018248268,0.25247168066442416,0.4739401104974943,0.3368140456591713,0.3453550417330935,0.268240054422096,0.2148663166539787,0.20963154007951013,0.3448862604812516,0.24647595267946654,0.21488710744528372,0.22121872318614266,0.28516037482071044,0.3939695124521132,0.3662497158112936,0.30557479518831454,0.2755257018606123,0.1960518744707963,0.3020570419970654
golfball,0.5887267406947758,0.38516665809495176,0.36064865268214685,0.34508521091746225,0.44010667346816035,0.24420576881888223,0.32863703429133995,0.36831130296325143,0.31878767316194145,0.2666461504269171,0.41661576457735316,0.30669455309615845,0.3542096734980573,0.271772724661252,0.4047645449423881,1.0,0.29595750981091107,0.40068842275714944,0.37272355296008497,0.3270617557365214,0.3854373682876836,0.22715932336803246,0.29352567345326597,0.32862515266504055,0.3118094625188399,0.17401282525486317,0.26493836925104564,0.29536192574293596,0.3581295938546233,0.29674838560233185,0.2660470618627191,0.33422991940950153,0.3321275155986816,0.4085518388382632,0.3412062606789491,0.5051323957655762,0.21725839686091397,0.32028879017529766,0.23616562277673991,0.36411133259892947,0.33341630012452184,0.23797442169156102,0.29959505791471863,0.29418312280132386,0.3197696288827202,0.3999743269543381
hopscotch,0.32243840180836414,0.4375573765187999,0.3590088392964089,0.348294224982336,0.223236487411969,0.3137937755424638,0.4206409874994349,0.16385534779995647,0.4404880592666425,0.2054355649705507,0.3785128909743658,0.367261858607279,0.35090999875389706,0.38522648101995727,0.30601190418445,0.29595750981091107,1.0,0.516245641998648,0.3337837136162607,0.17607973311094693,0.3580077660598562,0.30417666029698087,0.1763139147393733,0.31481830578659487,0.14743733700919504,0.22250886383853863,0.2288694638714993,0.3073907457212861,0.2957797583970375,0.3535884339234565,0.351617360536979,0.40803694867500484,0.45010863462476514,0.38507665081635345,0.39364865694185336,0.37620559458698555,0.20682222111685733,0.33389887352867165,0.21180970157984613,0.44899792794122395,0.40609056179826064,0.21189870413219503,0.28719958437018467,0.30145122591298934,0.27256240913569574,0.4454081697053123
jumprope,0.40714843374758625,0.46907388282997875,0.40485578137690903,0.4746885457790717,0.3540802123900171,0.3011815732410297,0.4310792475643671,0.27737068544613996,0.34952921239810864,0.22714721635360635,0.3320314803774054,0.20108576980550585,0.2940828061275096,0.3012909003341401,0.39381570679223454,0.40068842275714944,0.516245641998648,1.0,0.4013488213847538,0.3564933686887203,0.37788191302445184,0.36363899886578777,0.2599550658415055,0.3282856630260418,0.2933106021594549,0.27679365692227664,0.25286844974373934,0.30241297021218116,0.33675359642222025,0.4338587916364305,0.3975745841084698,0.5337451118731039,0.45013939388820523,0.5179274180675006,0.36412738414978696,0.4108050794508469,0.27743570216411695,0.2552605406616424,0.25281018276794676,0.3701139313261862,0.3626992879764539,0.31987246840203,0.2661558447446234,0.3390041797196852,0.35398985747847145,0.43682039698426944
kite,0.28179932481689596,0.45169063218049543,0.3077607361681146,0.3030959379908176,0.4287014490983221,0.35001052486843276,0.42732957239584435,0.2609052700455865,0.2346516014307093,0.36533270019413044,0.3678266206042088,0.17608892583692337,0.23692338458734774,0.278043854987448,0.25473584041567143,0.37272355296008497,0.3337837136162607,0.4013488213847538,1.0,0.1345959469043252,0.22396097645933277,0.20065548690472035,0.24311100664366725,0.3467086035101491,0.33897496918691017,0.14253503436743653,0.19842883188468075,0.19572819566721122,0.32974287090288745,0.27164458131704916,0.26750330375746334,0.3649498118209983,0.2680913774292286,0.42028585503679317,0.3219632391981019,0.40571030203883174,0.14618001677132875,0.35991404788888604,0.27744733033408564,0.27501244283522597,0.2759027731184367,0.20521787572332817,0.15003524203530372,0.2688097246914809,0.39751292361398716,0.4117743010080823
magnifyingglass,0.309632380303422,0.20717431059978875,0.1804469219878071,0.22743975351373424,0.28536201719107435,0.13367717247685218,0.19820796306353516,0.19795793377315696,0.16402992660146154,0.21050820914574708,0.24431467273889795,0.2545266166993301,0.17910224855615375,0.1461353317224222,0.1919569196661015,0.3270617557365214,0.17607973311094693,0.3564933686887203,0.1345959469043252,1.0,0.3407459151441825,0.21075629151269049,0.26192820097042224,0.22402985758787963,0.14211651647794077,0.23083418935112177,0.22975503440471545,0.16697345022519083,0.42249841023764567,0.17171666008107977,0.23881828840097807,0.2224454011276239,0.28516905771406065,0.3027712898232491,0.3247816723183705,0.25635037106611214,0.15092955027286747,0.11039344475641621,0.22843381234459426,0.22100413350381043,0.18225070962640766,0.11633681643758642,0.16165123133479642,0.3725114917299571,0.15366274616254338,0.263523016061437
