Structure,birdbath,birdhouse,bleachers,bridge,ceiling,chimney,closet,crosswalk,door,elevator,fence,ferris wheel,fire hydrant,fireplace,flag,fountain,garage,gate,mailbox,maze,road,roller coaster,roof,sidewalk,sign,stage,statue,tunnel,well,window
-0.009866071,0.05214401,0.05783775,0.05854071,0.0668559,0.052144248,0.06933584,0.059520572,-0.019914692,0.07906465,0.047784694,0.056664087,-0.022237925,0.06243677,0.07161694,0.05419114,0.01688101,0.06676693,0.052381255,0.037540205,0.0047038808,0.031204958,0.042427927,0.070654504,0.061773725,0.05890449,0.043348186,0.025467655,0.054454956,0.008137112,0.05546411
0.044750527,0.00073887204,0.024220008,0.077268526,0.07545443,0.069506936,0.023713889,0.070397,0.053593203,0.040248666,0.055785794,0.072486944,0.06502192,0.04393785,0.018851466,0.053063653,0.072032355,-0.0052461643,0.032278437,0.049861945,0.07219522,-0.010846236,0.056030467,0.06902626,0.07534999,0.033166964,0.021592664,0.06131988,0.07275043,0.0057002064,0.032061923
0.007130458,-0.039222676,0.016457297,0.0040671746,-0.051779974,0.026548445,0.038949724,-0.02434898,-0.0401787,-0.002207682,0.022690613,0.08036635,0.043594733,0.054736357,0.048680358,0.042007506,-0.024876183,0.0531556,0.010269985,-0.072420515,0.057733826,0.07221517,-0.004178752,-0.010694868,-0.06417782,0.07562862,0.05655045,-0.0060379547,0.0001960658,0.021208294,0.0265123
-0.0548765,0.026110334,-0.035235282,-0.0006232797,-0.059144545,0.063573346,-0.042228714,0.049896076,0.023021514,0.008752029,0.05056676,-0.009090624,0.056691084,0.025965506,-0.04747066,0.04303747,-0.022335945,-0.062358987,-0.048295915,-0.033682894,0.0021440687,-0.037753023,-0.032221057,0.01682323,0.000319196,0.043368004,-0.0066922586,-0.060291998,0.029209295,0.018384155,0.032692123
0.0027252168,-0.02222775,0.051608946,-0.007693136,-0.05307016,0.020613141,-0.009748012,0.044861693,-0.000113864655,0.007854995,-0.06502076,-0.056644566,0.04780874,-0.053882003,-0.010455974,-0.0640317,-0.050245963,0.049560294,0.008945111,-0.057804916,-0.036308683,0.040404186,-0.02241595,0.07447291,-0.011848536,-0.070427544,0.020739071,-0.037412394,-0.042753287,0.036412034,0.0008567234
0.0046484186,0.009090573,-0.04813172,-0.0066099376,0.04133523,0.044762436,0.0019638385,-0.028396847,0.03761278,-0.017397733,0.036992744,0.0069532082,0.025216429,-0.018758683,0.008857747,-0.048124045,-0.023572331,-0.023294007,-0.03402951,0.020874768,-0.037984163,0.00067315536,0.018382587,0.017824665,-0.0039701173,0.044269226,0.009398089,-0.046065707,0.05179098,0.0048811506,0.01456826
-0.028120644,-0.04057032,-0.036216427,0.0024812245,-0.07991158,-0.05376037,0.044068463,0.04039072,-0.052955717,-0.06222697,-0.050977293,0.044354282,-0.019601138,-0.018853422,0.061745834,-0.07172856,-0.067246415,-0.005697737,-0.007132898,-0.05657428,-0.0767923,-0.058061242,-0.02018881,0.04011756,-0.0565985,-0.0063788467,0.010076483,-0.0035456677,-0.06350306,-0.040518254,-0.018490806
-0.07639942,-0.05621031,-0.06964862,-0.044210475,-0.071330436,-0.047341865,-0.030968057,-0.044489015,-0.07582229,-0.074597955,-0.071336485,-0.06601035,-0.06750239,-0.07958953,-0.056708835,-0.06367409,-0.06048051,-0.072753124,-0.03310016,-0.06140184,-0.035892285,-0.060014766,-0.06691431,-0.06382257,-0.057644393,-0.06413082,-0.07642295,-0.07713483,-0.06966277,-0.041048698,-0.052925598
0.008048255,-0.109943144,-0.09024,-0.05233747,-0.06433195,-0.072379075,-0.08078217,-0.024412649,-0.083680235,-0.075086005,-0.038061447,-0.085723884,-0.069188714,-0.0826254,-0.0738963,0.00054781535,-0.061239704,-0.083972014,-0.037065193,-0.040759906,-0.049216375,-0.09696638,-0.036811918,-0.08641038,-0.089307934,0.01253304,-0.023362434,-0.02760259,-0.06752893,-0.020573856,-0.062364455
-0.036703367,-0.028608002,-0.0376694,0.068195865,-0.068108074,-0.05586647,-0.028368557,-0.064103656,0.0029428184,-0.0047413316,0.035097785,-0.03553527,0.050177407,0.017199036,0.017728252,0.024883412,-0.021860477,-0.04983374,0.04470337,0.002449137,0.05858868,0.054067425,0.07459045,-0.08200162,0.06973127,-0.010039816,0.010840348,0.013991722,-0.048911635,-0.026630213,-0.03981988
0.029170047,0.014589595,-0.015929956,-0.07976242,-0.059360817,-0.030410245,-0.061335657,-0.053450484,-0.0624076,-0.06465336,-0.058352925,-0.043977804,-0.054090016,-0.041483868,-0.06782969,-0.03208036,-0.0708425,-0.064020716,-0.0723471,-0.024824996,-0.05369361,-0.060389057,-0.08052755,-0.04831828,0.0069673914,-0.04679406,-0.06610824,-0.010390101,-0.075562894,0.010364009,-0.0693281
