Toys Games & Hobbies,ball,balloon,baseball,basketball,beads,binoculars,bubble,camera,checkers,compass,dart,dice,doll,dominoes,football,golfball,hopscotch,jump rope,kite,magnifying glass,marbles,medal,microphone,needle,net,record,robot,sandcastle,sewing machine,skateboard,skis,sled,slide,slingshot,sparkler,swing,target,telescope,tennis ball,thimble,tic-tac-toe,top,trophy,whistle,yarn,yo-yo
-0.0098695485,0.0054624393,0.029970845,0.021565469,0.025029808,0.067632675,-0.0032226034,0.05472057,0.0014331208,0.02790607,0.0656099,0.047032338,0.04347374,0.026800655,0.043112062,0.02520219,0.07767813,0.071004204,-0.029889673,0.04885413,0.006819383,0.05512168,0.026406309,0.06519561,0.07147726,-0.08576419,-0.057219084,0.055580758,0.03944508,0.046155583,-0.0043274118,-0.0067681465,0.037319925,-0.027952518,-0.024315026,0.00773214,0.0043669697,-0.0012112918,0.06801973,0.015374595,0.04334207,0.06958368,0.028567387,0.038149673,0.056875758,0.065491974,0.016791027
0.06517213,-0.012812081,-0.026363445,-0.04898656,-0.05051289,-0.052119166,-0.048293844,0.013331739,0.059431296,-0.05799487,-0.030153796,-0.057332475,-0.014802428,0.043510366,-0.050793264,-0.007528714,0.03303409,-0.04561733,-0.049503338,0.008295696,-0.040744405,-0.07350144,-0.017787991,-0.06700492,0.03303405,-0.005733116,0.028238088,-0.038976774,-0.039278008,0.0049359626,-0.06804391,-0.029844873,-0.035992745,-0.058241144,-0.03759765,-0.027890429,0.018403057,0.032594185,0.042512648,-0.04392752,0.013992151,-0.038364578,-0.032528754,0.008255505,-0.06877496,0.042718295,-0.030502252
0.003470076,-0.0041114166,-0.022568977,0.03965763,-0.024346152,-0.04547275,0.02855325,-0.056360755,0.019175837,-0.0020316348,0.04865415,-0.06978363,-0.05776087,0.01661751,-0.052871916,-0.039356682,0.027666701,-0.028975165,-0.0590903,-0.06248259,0.008864507,-0.017293945,0.014069744,0.04506074,-0.03379741,-0.054936785,0.06748632,0.031963408,0.07960934,0.0031748454,0.012722846,-0.06630914,-0.0520943,-0.0073424624,0.024554376,-0.045917377,-0.0035049685,0.015456521,0.07624037,0.032452807,-0.03696364,0.009531298,0.04102157,0.047898833,0.011805725,0.03580015,0.019338826
0.017481903,-0.014646606,-0.030406065,0.046823494,0.017367838,-0.06804717,0.015575421,-0.04051005,-0.021905227,0.029380243,-0.013084651,-0.006961282,0.015189475,-0.03506137,0.012411233,0.06599586,-0.03534595,0.008174972,-0.06046607,0.034284756,0.05728889,-0.06760058,-0.021730376,-0.083422184,-0.028335102,-0.0060340166,-0.085988656,-0.021132141,0.027911464,-0.041440886,-0.040042073,0.0059645106,0.05771254,0.011289421,0.008500038,-0.055345744,-0.07244118,0.03958975,0.044305883,0.027567374,0.033442393,-0.004344166,0.018784566,0.0485262,-0.084050536,-0.052706573,-0.0805238
0.021174667,-0.00816722,0.07936842,0.078084365,-0.03873008,-0.03718435,-0.037352283,0.0611553,0.017775957,-0.03758521,0.051062126,-0.046132747,0.01932347,0.027316561,-0.012003483,-0.06632419,-0.04823771,0.07725968,0.044238906,-0.050517228,0.05151473,0.041055333,0.059478853,0.048635304,0.07312115,-0.030745434,0.0017615338,0.052593663,0.066613585,0.07430204,-0.05178455,-0.03333235,0.018325448,0.05239205,0.07898475,0.028165434,0.05399162,-0.0340813,-0.026025007,-0.00014926837,0.022160614,-0.040231895,0.030572226,0.0027990076,0.04663459,0.037114467,0.075998984
-0.011196767,0.016150083,0.03807443,-0.06804124,-0.052482706,-0.047596235,0.05902822,-0.01198499,-0.047099907,0.036485292,-0.037617035,0.041921943,0.052286763,-0.045919463,0.06807188,-0.04188713,-0.042066112,0.019040354,-0.005440825,-0.0017223379,0.027972234,-0.03179868,-0.065198556,-0.034529645,-0.050299317,0.040597863,-0.054523647,-0.086852394,-0.052119084,-0.026117513,0.001600195,0.0274786,-0.007102324,-0.024979012,0.05561344,0.00743994,-0.026221827,-0.009784483,0.028863491,-0.029436218,0.049664047,-0.068146735,-0.031129489,0.033637356,-0.0129230395,-0.06308208,-0.07893662
-0.03285129,-0.027543165,-0.050958045,-0.07085913,-0.039488163,-0.042219084,0.015797451,0.01822118,-0.05221735,0.03529424,-0.058844894,-0.044251505,-0.06859025,-0.0074166656,0.028096458,-0.07001217,-0.06587221,-0.007894329,-0.008658402,-0.03432578,-0.059151296,0.0108990865,-0.062460054,-0.069712676,-0.037429992,-0.02920307,-0.012355752,0.032826126,-0.051203635,0.04136512,-0.063750215,0.059264205,-0.0014823872,-0.013819285,-0.07097919,0.0525433,0.0030312906,0.04323215,-0.038619597,-0.05996718,-0.043116476,-0.034781717,-0.05583344,-0.0651804,0.026279675,0.02798998,-0.052959263
-0.016602648,0.007843881,0.047907222,0.008386324,0.008389934,0.021857906,-0.015266488,-0.032608613,0.06470189,-0.003648431,0.0026654727,-0.014038143,-0.025468139,0.078459956,0.01587971,-0.020897422,0.067533605,0.025487676,0.024052985,-0.016097046,0.02404955,0.03412478,0.006850041,0.004663955,0.052351404,0.047591623,-0.014980536,0.029114876,0.06613652,0.0014086261,-0.03187387,0.03890532,-0.011848761,-0.024228372,-0.021784801,0.03578021,0.056745067,0.0658037,-0.011122084,0.036578197,0.052415658,0.032037754,0.00092369475,0.078132294,-0.054807417,0.04714524,-0.034329537
0.01672665,0.06647157,-0.059786223,-0.018886212,0.008359465,-0.0074904645,-0.022127876,-0.076550014,-0.051093623,0.04414133,0.060503535,-0.004236485,0.0016616399,-0.012224441,0.06514074,0.0108166225,-0.031603258,0.06309537,-0.038840465,-0.05981006,-0.009484315,0.044376787,0.030545915,0.028560335,-0.058496185,0.0051439917,-0.009594255,0.010858094,-0.016790038,-0.009641726,0.06715471,-0.01098576,0.048630867,0.03959403,-0.06937102,0.044959,-0.05929251,0.040485132,-0.050431643,-0.0011411669,0.046806622,0.06816858,0.0040980424,0.05195303,0.07701539,0.03429119,0.029903902
-0.025715334,0.08106924,-0.0032631576,-0.03539997,-0.028692884,0.08473788,0.038169898,-0.030172521,-0.009293619,-0.0038435324,-0.0106545845,-0.053771988,0.04010124,0.043393392,0.054736387,-0.039838012,0.0345337,-0.03207183,0.0032131667,0.0471201,-0.011236792,0.07637962,-0.046935238,0.061551478,0.06366649,0.056257892,-0.055107735,0.034773633,-0.03864135,0.076672606,-0.06465641,-0.04713817,-0.056598954,-0.07263343,-0.0031131157,0.045620367,0.0018405004,-0.015515383,-0.045337215,0.047270976,0.09239821,0.050700493,-0.03183616,-0.05123058,0.051653154,0.08052864,0.0055817873
