parts of buildings,attic,bathroom,brick,cabinets,ceiling,chimney,curtains,door,faucet,fence,fireplace,garage,gate,kitchen,light switch,mailbox,roof,shower,sink,tile,toilet,window,chandelier,elevator
0.082305096,0.07949038,0.056782994,0.08097607,0.08654511,0.07503186,0.080349796,0.06721741,0.07382114,0.07274134,0.07991003,0.07892322,0.070872284,0.085256875,0.073212415,0.055653818,0.073171854,0.077834584,0.07463536,0.082250915,0.083007865,0.05370291,0.0823991,0.06402733,0.07113094
0.016023949,0.059948087,0.042953577,0.026194602,-0.023649802,0.06127888,-0.001480884,0.023760444,0.073399864,0.05866656,0.07213814,0.01607601,0.030862551,0.06409758,0.001175525,0.043969397,0.07255472,0.04718749,0.002677839,0.06819087,0.054457113,0.0735243,0.07868512,0.022465056,0.02640456
-0.03797746,0.03689815,0.04298103,-0.047339574,0.028800668,0.013193257,-0.037747502,0.03572222,0.040445164,-0.06030578,0.036338054,-0.004218526,-0.010731,0.07653016,-0.004820979,0.08306755,0.039592426,-0.06285051,0.05808155,0.007327557,-0.000678004,-0.015461379,-0.039206885,0.07807388,0.025352733
-0.046154402,-0.07694417,-0.0700348,-0.06098252,-0.06884758,-0.0756493,0.017402202,-0.027921049,-0.068798915,-0.06628294,0.031319827,-0.011779386,-0.01830938,-0.046156652,-0.07764577,-0.04506763,-0.00198499,-0.004534361,-0.06683371,-0.07453997,-0.077154346,0.03405828,-0.004690978,-0.084819846,-0.023646267
-0.037885398,-0.026614567,-0.02239925,-0.05220892,-0.07671724,-0.06449626,0.001901533,0.025342576,0.015007965,0.051473197,0.0166892,0.043999046,0.001984279,0.002801594,-0.013515087,0.005142897,0.07051911,-0.0385164,0.07061838,0.029173758,0.014075206,-0.022047512,0.012854441,-0.044174112,0.061339717
0.05458519,0.061283283,0.008631859,-0.015038208,0.046695042,0.049307916,0.021913376,0.023337943,0.009555758,0.051370192,-0.024240717,0.046831887,0.02765333,0.06561818,0.012601159,0.026356429,0.02702163,0.052471925,0.045485213,0.03219012,0.0763408,-0.012631661,0.008283925,-0.027895667,0.03676044
0.090181984,0.039005198,0.038217153,0.07594593,0.08254389,0.058743857,0.06637389,0.04570948,0.015012093,0.033157453,0.059579127,0.071626164,0.07171614,0.06098987,0.053099044,0.06528599,0.06535378,0.063965544,0.004469624,0.0796748,0.0692601,0.037647203,0.07196184,0.062283274,0.0756676
-0.040030416,0.03843858,-0.018312527,0.008284841,-0.018768933,-0.015307493,-0.004611013,0.000862247,0.018606216,0.005330964,0.050813217,-0.053087953,-0.01348717,-0.00753115,-0.036723714,0.059143215,0.060514167,0.051478922,-0.013626161,-0.011512494,-0.018344378,0.049600903,0.015201055,-0.06851689,-0.07044217
-0.026721846,-0.035095796,0.00154194,0.0638808,0.051475063,0.047579344,0.057269633,-0.006282933,-0.03531559,-0.049663346,-0.002105766,0.011568193,0.03598378,-0.052562762,0.030847337,-0.001816861,-0.03022458,0.066382356,-0.003147696,-0.05453776,0.017645927,-0.00692194,-0.010874955,-0.044470437,0.011453112
0.022910474,-0.015939247,0.010444323,-0.057709653,0.025597427,-0.00999106,-0.0748429,-0.005815241,-0.016454365,0.006625372,-0.018794183,-0.06322145,0.05268468,-0.063650966,0.06126791,-0.030892776,0.008285449,-0.05320818,0.045012582,-0.013302381,-0.041609373,-0.07349435,-0.005836487,-0.059140738,-0.06280355
0.06443719,0.000411969,0.04390071,-0.056496218,-0.034411337,-0.020013366,-0.01679583,-0.006413913,-0.011596343,0.026312092,-0.070832975,0.020787077,0.016701512,-0.051085144,0.02490054,-0.05076622,-0.030887516,-0.032015394,0.021313278,-0.037997577,-0.014185638,0.024249291,-0.017674088,-0.04313006,-0.029982716
0.039338347,0.03606375,0.04565558,0.056657013,0.022866288,0.024057575,0.059544276,0.05014209,0.050681856,0.065547116,0.06429144,0.054477505,0.06739852,0.05691859,0.067849375,0.026522204,0.06924265,0.064670675,0.057992566,0.072388075,0.000523373,0.004563205,0.072976544,0.04439353,0.06248681
0.047255833,0.08758755,0.07962748,0.012902978,0.07361392,0.08194428,0.056606267,0.07262582,0.07993112,0.04228006,0.06950829,0.071322806,0.024868434,0.024812765,0.048194718,0.010975582,0.07693009,0.07092444,0.065807045,0.06507701,0.02363706,0.06726765,0.082737535,0.0240132,0.054344967
-0.020588527,-0.007585709,0.07081321,0.013387449,0.01847889,0.038121928,-0.00999833,0.034511644,0.005881112,-0.022640724,0.022557873,0.033522423,0.050955437,-0.011709413,0.048465267,-0.026831472,-0.037532046,0.03451018,0.07064202,0.014280755,0.013388028,0.06050506,0.037783623,0.027250355,0.018316831
-0.050724585,-0.016250484,-0.07852162,-0.037425715,-0.0729328,-0.0597499,-0.070572615,-0.06942236,-0.05295247,-0.054733396,-0.012076655,-0.06697254,-0.06759158,-0.021672036,-0.063187554,-0.07209532,-0.034231693,-0.046838775,-0.06080859,-0.027817562,-0.07928573,-0.05292877,-0.05131448,-0.04721513,-0.034661148
-0.0281272,-0.06944844,-0.077814795,-0.078409046,-0.03498209,0.009965815,-0.031219756,-0.03557508,-0.055677842,0.004685504,-0.05308795,-0.056288425,-0.05996637,-0.03430588,-0.020842869,-0.041609544,-0.0354131,0.018304218,-0.07084275,-0.02180881,0.004983212,-0.04964744,-0.05334047,0.054025922,-0.006069512
