toys and games,ball,balloon,baseball,basketball,checkers,crayon,dart,dice,doll,dominoes,football,frisbee,golf,golf ball,helmet,hula hoop,jump rope,kite,marbles,medal,puzzle,robot,sand castle,skis,slide,slingshot,swing set,tennis,tennis ball,tic tac toe,top,trophy,yoyo,hopscotch,rubik's cube,slinky
0.060884517,0.07910525,-0.037743904,0.047363095,0.07058624,0.032234486,-0.006603892,0.038072407,0.011278338,-0.06283911,0.06319763,0.002735104,0.05459513,-0.023676118,0.02602952,0.02406349,0.04986087,0.027389832,-0.08378189,0.07589913,0.054733794,0.06052309,-0.01941328,0.034976203,0.042309176,-0.012071326,0.07220993,-0.006290618,0.067892574,0.07999675,0.054717783,0.000271719,0.074861504,0.055073578,0.030827997,0.070317745,0.014498667
0.060597926,0.030187037,-0.016860642,0.051440857,0.051803794,0.03830088,0.024320407,0.044209454,-0.037464336,0.045796283,0.012719703,0.06670648,-0.015523323,0.036314152,-0.012667989,-0.055753008,0.022220083,0.046861906,0.022560291,-0.014831116,0.023139138,-0.005964062,0.040426325,0.010093078,0.049043175,0.047012184,0.016511127,0.03670443,0.032989528,-0.008240942,-0.055555347,0.05001861,0.001376387,-0.002489101,0.006081819,0.042334702,0.020305682
-0.02272869,0.04105692,0.07372389,0.01448197,0.034213644,0.0365882,-0.000296658,0.07206887,0.038815808,0.028545596,0.026855707,0.023973752,0.047954496,-0.028402744,0.04205888,-0.029552853,0.06537871,0.07058304,0.07137293,-0.008497058,0.005690176,0.042091347,-0.0533111,-0.016549703,0.045223173,0.07871456,0.07181671,0.04644539,-0.039248552,0.007437225,0.080501266,0.09765545,0.0473582,0.035230104,0.05997032,0.024739908,0.0749446
0.001565395,-0.002287055,0.018409288,0.062472254,0.02160216,0.001494492,0.064495,0.07764688,0.034852333,0.06639798,-0.06045198,0.060995933,0.059811015,0.08222633,0.07961419,-0.03643777,0.054815423,0.02970241,-0.008865709,-0.04222799,0.038400397,-0.06996104,0.0725485,0.015074912,-0.02442002,-0.04179747,0.01682911,-0.004399358,0.03896622,0.05291147,-0.017926257,0.01407098,-0.019125257,0.042915415,0.022109877,-0.05897931,-0.000252254
-0.022783965,0.002901514,0.06642163,0.024430461,0.083720736,-0.002746272,-0.051011708,-0.008049818,0.023259701,-0.03108583,-0.021930927,-0.03145635,0.042425286,-0.05237401,-0.05072312,0.012595693,0.059806623,0.058225803,-0.04845211,-0.010694584,0.01008638,0.020241924,0.06846578,0.045472912,-0.019842075,0.00897682,0.049381893,-0.012383299,0.039977245,0.024145793,0.014550542,0.003372818,0.023156896,-0.057316568,-0.000295432,-0.05364124,-0.04414508
-0.024771037,0.039759506,0.06964365,0.07698098,0.08403395,-0.012371777,0.037067503,-0.058389276,-0.06850089,-0.010477052,0.009825091,-0.06556641,-0.07061999,-0.04415623,-0.018743966,-0.029339546,0.045645364,0.0152736,0.059117913,0.002682693,0.029189426,-0.028057357,0.07746589,-0.004480388,-0.068053246,-0.015000315,0.019645803,-0.031587437,-0.0630289,-0.04515934,-0.014203504,0.05304596,-0.034563076,0.06587077,-0.017106023,0.030754946,0.037302807
0.049872406,0.031609684,0.035562318,-0.023081139,0.015420305,-0.062329505,-0.028536629,0.016521506,0.064242095,-0.046328377,0.047013864,0.033460185,0.038507257,-0.050185166,-0.00950652,0.056104936,0.043811373,0.06216273,0.017414698,-0.002371033,-0.023770362,-0.03287338,-0.015354242,-0.04041611,-0.003552686,0.024417551,0.056200724,0.032075156,0.000932677,0.026128296,-0.000763125,0.002905691,-0.030292401,0.057094414,-0.00142329,-0.015081801,0.032704793
-0.06927635,-0.058582515,-0.031173164,-0.015567902,-0.053065654,-0.016304327,-0.05384113,-0.046211865,-0.013694759,-0.03506516,0.03399356,-0.05789386,-0.03437311,-0.043153487,-0.015712498,0.04521882,-0.050019268,-0.019367676,-0.007159189,-0.052347895,0.0448128,-0.07248346,-0.07360598,-0.0655524,0.017134216,-0.06486726,-0.000823951,-0.0452703,0.028635696,0.03920081,-0.026603634,0.03449444,-0.020812394,-0.012862631,-0.050852243,-0.05276147,-0.0098672
-0.03584895,-0.044248737,-0.038938306,-0.04434313,-0.052017365,-0.027122943,-0.05313145,-0.04113162,-0.025612084,-0.037437644,-0.06750233,-0.055778675,-0.04422927,-0.04309667,-0.05070316,-0.072441675,-0.056254543,-0.050769933,-0.035891913,-0.042619225,-0.053583276,-0.06030961,-0.07968887,-0.040591255,-0.061736092,-0.06437764,-0.05447835,-0.08145492,-0.037994083,-0.06884693,-0.05928284,-0.070534244,-0.073094726,-0.012210023,-0.055332325,-0.045054123,-0.054084316
-0.053282686,-0.058315653,-0.069462664,-0.05742946,-0.030424524,-0.060600113,-0.04101005,-0.031768046,-0.016489755,-0.03505521,-0.024663657,-0.078214206,-0.07475934,-0.067403995,-0.06967225,-0.07709523,0.007652618,0.043044955,-0.084244706,-0.055972487,-0.002406552,-0.027525332,-0.036349326,-0.07944651,-0.06875317,-0.001337427,-0.05406607,-0.060805783,-0.025426855,-0.07721874,0.025516218,0.009873127,-0.06496759,-0.004017018,-0.06987331,0.029665023,-0.04353605
